# FILENAME=Skynet_59472_ngc1530_group2_62102_10937.A.onoff.cal.txt
# BASENAME=Skynet_59472_ngc1530_group2_62102_10937
# CONTROL=SKYNET
# PROJCODE=Skynet_59472_ngc1530_group2_62102
# DATAROOT=/raid/scratch/cyborg/SkynetData
# DATADIR=/raid/scratch/cyborg
# DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59472_ngc1530_group2_621
# SCANNAME=2019_06_26_10
# SRC_NAME=ngc1530_group2
# OBSERVER=sdss2_39397
# DATE_OBS=2021-09-15T02:50:54.390
# OBSID=62102
# SCANNUM=10937
# MJD=59472.1186851
# UTC=10254
# SCANTYPE=onoff
# DATAMODE=HIRES
# RECEIVER=Rx1_2
# OBSFREQ=1408.8000
# Actual_FREQ1=1653.8000,
# Actual_FREQ2=1403.8000
# LO1Tuning=6978.8000
# RFFILTER=1300_1800
# OBSBW=-15.6250
# EFFBANDW=15.6250
# NCHAN=1024
# STARTCHAN=51
# STOPCHAN=972
# TINT=0.3000
# TBIN=0.00419430
# ACCLEN=2048
# DURATION=407.40
# EXPOSURE=389.05
# FOCUS=37.071
# RA,DEC=04:24:30.26, 75:17:45.96
# RA(deg)=71.77380
# DEC(deg)=75.29558
# WIDTH(deg)=3.0183x0.0154
# AZIM(deg)=15.0871
# ELEV(deg)=31.1952
# COORDREF=RA_DEC_
# HREF=65.8629
# VREF=75.2956
# RADESYS=FK5
# OFFSYS=RADEC
# EQUINOX=2000.00
# IFATTENS=30.00, 14.00
# BALANCELEV=1.200
# POWER_XLYR=[8.48, 8.66]
# VELDEF=RADI-OBS
# VELOCITY=0.000
# NPOL=2
# POLMODE=Linear
# POLTYPE=XXYY
# WARNING=None
# NOISECAL=HI
# PRECAL=2
# POSTCAL=2
# CRYOTEMP=17
# BOXTEMP=26
# TSYS=XX1:91.82, YY1:73.65
# TSYS=XX2:105.94, YY2:135.75
# TCAL=XX1:9.42, YY1:11.79
# TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra: Tsys*(ON-OFF)/OFF
# 
# 
# Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2
col1 col2 col3
1410.8343 -0.6427 0.1505
1410.81904 -0.6201 0.0444
1410.80378 -0.5131 0.353
1410.78853 -0.4232 -0.0784
1410.77327 -0.4514 0.0552
1410.75801 -0.5881 0.1616
1410.74275 -0.5819 -0.174
1410.72749 -0.5336 -0.0854
1410.71223 -0.6512 0.0125
1410.69697 -0.4776 0.045
1410.68171 -0.501 0.0608
1410.66646 -0.5006 0.0355
1410.6512 -0.3562 -0.0188
1410.63594 -0.3863 0.0495
1410.62068 -0.3173 0.2437
1410.60542 -0.5038 0.0907
1410.59016 -0.4122 -0.0394
1410.5749 -0.3776 0.0028
1410.55964 -0.7142 -0.0127
1410.54438 -0.5573 0.1515
1410.52913 -0.4121 -0.0403
1410.51387 -0.6268 0.1186
1410.49861 -0.3821 -0.0005
1410.48335 -0.5205 0.1255
1410.46809 -0.6048 0.0796
1410.45283 -0.5002 0.0908
1410.43757 -0.4621 -0.0252
1410.42231 -0.3558 -0.1561
1410.40706 -0.3445 -0.0294
1410.3918 -0.3745 -0.0026
1410.37654 -0.5344 0.0426
1410.36128 -0.3755 -0.1617
1410.34602 -0.3013 -0.0928
1410.33076 -0.3891 0.0997
1410.3155 -0.308 -0.1245
1410.30024 -0.4079 -0.1021
1410.28499 -0.5449 -0.0162
1410.26973 -0.4125 -0.2252
1410.25447 -0.26 -0.1634
1410.23921 -0.3894 0.0887
1410.22395 -0.3187 0.0142
1410.20869 -0.4545 0.0832
1410.19343 -0.3578 -0.1007
1410.17817 -0.4564 -0.0981
1410.16292 -0.4303 -0.1954
1410.14766 -0.3902 -0.2195
1410.1324 -0.3871 -0.2596
1410.11714 -0.4367 -0.2244
1410.10188 -0.3196 0.0016
1410.08662 -0.3758 0.0017
1410.07136 -0.509 -0.0464
1410.0561 -0.4035 -0.1867
1410.04084 -0.3669 -0.2256
1410.02559 -0.337 -0.2938
1410.01033 -0.4039 0.0473
1409.99507 -0.2663 -0.2571
1409.97981 -0.148 -0.2586
1409.96455 -0.3318 -0.0901
1409.94929 -0.1881 -0.1586
1409.93403 -0.2764 -0.1694
1409.91877 -0.1964 -0.2785
1409.90352 -0.3737 -0.1421
