#     FILENAME=Skynet_59472_ngc3976_group2_62119_10949.A.onoff.cal.txt
#     BASENAME=Skynet_59472_ngc3976_group2_62119_10949
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59472_ngc3976_group2_62119
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59472_ngc3976_group2_621
#     SCANNAME=2019_06_26_10
#     SRC_NAME=ngc3976_group2
#     OBSERVER=sdss2_39397
#     DATE_OBS=2021-09-15T20:02:59.190
#        OBSID=62119
#      SCANNUM=10949
#          MJD=59472.8354073
#          UTC=72179
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1409.7000
# Actual_FREQ1=1653.7000,
# Actual_FREQ2=1403.7000
#    LO1Tuning=6978.7000
#     RFFILTER=1300_1800
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=602.10
#     EXPOSURE=581.92
#        FOCUS=37.027
#       RA,DEC=11:56:09.57, 06:44:57.49
#      RA(deg)=180.49900
#     DEC(deg)=6.74924
#   WIDTH(deg)=3.0239x0.0390
#    AZIM(deg)=234.9069
#    ELEV(deg)=44.1079
#     COORDREF=RA_DEC_
#         HREF=178.9890
#         VREF=6.7492
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=31.00, 16.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.32, 1.18] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=17 
#      BOXTEMP=29 
#         TSYS=XX1:59.30, YY1:61.26
#         TSYS=XX2:67.97, YY2:106.71
#         TCAL=XX1:9.42, YY1:11.79
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1660.73430       6.3750       4.4109    1410.73430       3.7399       1.0998
   1660.71904       6.3288       4.4355    1410.71904       3.8901       1.1781
   1660.70378       6.4073       4.5110    1410.70378       3.7888       1.2517
   1660.68853       6.3624       4.5716    1410.68853       3.7754       1.2238
   1660.67327       6.3644       4.4902    1410.67327       3.6841       1.3274
   1660.65801       6.3825       4.5932    1410.65801       3.7321       1.2116
   1660.64275       6.3774       4.5312    1410.64275       3.7304       1.0218
   1660.62749       6.4233       4.5051    1410.62749       3.7927       1.1747
   1660.61223       6.3834       4.5747    1410.61223       3.8079       1.2078
   1660.59697       6.3782       4.4348    1410.59697       3.7987       1.3100
   1660.58171       6.3455       4.5470    1410.58171       3.8430       1.3529
   1660.56646       6.4185       4.6373    1410.56646       3.7993       1.3986
   1660.55120       6.4383       4.4908    1410.55120       3.7752       1.2707
   1660.53594      14.8250      33.2335    1410.53594       3.8250       1.3405
   1660.52068       6.0242       4.1824    1410.52068       3.7660       1.2112
   1660.50542       5.9998       4.1786    1410.50542       3.8631       1.2632
   1660.49016       6.0107       4.2652    1410.49016       3.8641       1.3680
   1660.47490       6.3693       4.5383    1410.47490       3.8023       1.4236
   1660.45964       6.3508       4.6324    1410.45964       3.8304       1.3632
   1660.44438       6.4796       4.5327    1410.44438       3.8455       1.3812
   1660.42913       6.3582       4.5430    1410.42913       3.8268       1.4626
   1660.41387       6.4311       4.5153    1410.41387       3.7330       1.4719
   1660.39861       6.5293       4.5429    1410.39861       3.9566       1.5557
   1660.38335       6.4534       4.5843    1410.38335       3.8159       1.4625
   1660.36809       6.4603       4.5201    1410.36809       3.8884       1.4596
   1660.35283       6.4176       4.4751    1410.35283       3.9259       1.5320
   1660.33757       6.4884       4.5598    1410.33757       3.9552       1.6204
   1660.32231       6.4225       4.5576    1410.32231       3.8534       1.4936
   1660.30706       6.4232       4.5613    1410.30706       3.8549       1.5919
   1660.29180       6.4850       4.5417    1410.29180       3.8850       1.5421
   1660.27654       6.3534       4.5685    1410.27654       4.0453       1.5292
   1660.26128       6.3968       4.5825    1410.26128       3.8730       1.5412
   1660.24602       6.4876       4.5783    1410.24602       3.9242       1.6622
   1660.23076       6.5150       4.5860    1410.23076       3.9953       1.6605
   1660.21550       6.4408       4.5943    1410.21550       3.9797       1.7603
   1660.20024       6.4919       4.5759    1410.20024       3.9865       1.6936
   1660.18499       6.4700       4.4971    1410.18499       3.9638       1.5981
   1660.16973       6.4557       4.5960    1410.16973       4.0120       1.8156
   1660.15447       6.4884       4.5503    1410.15447       3.9804       1.7837
   1660.13921       6.3216       4.5688    1410.13921       4.1180       1.7421
   1660.12395       6.3313       4.6603    1410.12395       4.0566       1.7564
   1660.10869       6.4566       4.5382    1410.10869       4.1151       1.8256
   1660.09343       6.4677       4.5640    1410.09343       4.0476       1.8140
   1660.07817       6.5043       4.4978    1410.07817       4.0156       1.8487
   1660.06292       6.3666       4.6392    1410.06292       4.0623       1.8507
   1660.04766      13.4137      29.7600    1410.04766       4.0407       1.7752
   1660.03240       6.1019       4.2826    1410.03240       4.2076       1.8391
   1660.01714       6.2002       4.3686    1410.01714       4.1514       1.8217
   1660.00188       6.0925       4.2355    1410.00188       4.1198       1.9903
   1659.98662       6.4525       4.5692    1409.98662       4.1175       2.0452
   1659.97136       6.4571       4.5778    1409.97136       4.1414       1.9526
   1659.95610       6.4707       4.5759    1409.95610       4.1671       2.0583
   1659.94084       6.3902       4.5606    1409.94084       4.1543       2.0550
   1659.92559       6.3673       4.6095    1409.92559       4.1683       1.9599
   1659.91033       6.4600       4.5329    1409.91033       4.1199       2.1103
   1659.89507       6.4640       4.5563    1409.89507       4.2254       2.0878
   1659.87981       6.4264       4.4190    1409.87981       4.2598       2.0641
   1659.86455       6.4623       4.5401    1409.86455       4.2381       2.0887
   1659.84929       6.4739       4.5898    1409.84929       4.3102       2.0539
   1659.83403       6.5073       4.5356    1409.83403       4.3029       1.9502
   1659.81877       6.4464       4.5605    1409.81877       4.1905       2.1780
   1659.80352       6.4495       4.5561    1409.80352       4.2706       2.1217
   1659.78826       6.4329       4.4932    1409.78826       4.3973       2.2958
   1659.77300       6.4237       4.6001    1409.77300       4.3017       2.2501
   1659.75774       6.4344       4.4576    1409.75774       4.3338       2.2711
   1659.74248       6.4669       4.4368    1409.74248       4.2911       2.3435
   1659.72722       6.4356       4.4383    1409.72722       4.3093       2.2043
   1659.71196       6.4441       4.4983    1409.71196       4.3745       2.1881
   1659.69670       6.4358       4.4330    1409.69670       4.3941       2.2920
   1659.68145       6.5116       4.5602    1409.68145       4.3399       2.3608
   1659.66619       6.5163       4.4857    1409.66619       4.4029       2.4176
   1659.65093       6.5002       4.4873    1409.65093       4.4496       2.4229
   1659.63567       6.4469       4.4751    1409.63567       4.4246       2.3607
   1659.62041       6.4345       4.5195    1409.62041       4.3092       2.3970
   1659.60515       6.4349       4.4310    1409.60515       4.4663       2.5027
   1659.58989       6.3605       4.4678    1409.58989       4.4908       2.5128
   1659.57463       6.3490       4.4511    1409.57463       4.4115       2.3891
   1659.55937      12.0118      25.5622    1409.55938       4.5432       2.4601
   1659.54412       6.1166       4.2932    1409.54412       4.5882       2.4918
   1659.52886       6.1726       4.2722    1409.52886       4.5897       2.5976
   1659.51360       6.2032       4.2615    1409.51360       4.4160       2.5643
   1659.49834       6.3951       4.4245    1409.49834       4.4724       2.6231
   1659.48308       6.4352       4.3570    1409.48308       4.4961       2.7048
   1659.46782       6.3890       4.3651    1409.46782       4.5911       2.6098
   1659.45256       6.3622       4.4669    1409.45256       4.5548       2.5508
   1659.43730       6.3707       4.3553    1409.43730       4.6448       2.7049
   1659.42205       6.3427       4.3940    1409.42205       4.5484       2.6353
   1659.40679       6.3458       4.4325    1409.40679       4.6962       2.5860
   1659.39153       6.4042       4.3698    1409.39153       4.6237       2.6868
   1659.37627       6.3309       4.3389    1409.37627       4.7450       2.7452
   1659.36101       6.4341       4.3406    1409.36101       4.6308       2.7631
   1659.34575       6.3606       4.3409    1409.34575       4.6502       2.7091
   1659.33049       6.2927       4.3772    1409.33049       4.6608       2.8637
   1659.31523       6.3286       4.3072    1409.31523       4.6322       2.7595
   1659.29998       6.3028       4.3171    1409.29998       4.7056       2.9177
   1659.28472       6.3156       4.2991    1409.28472       4.7309       2.7802
   1659.26946       6.2907       4.2880    1409.26946       4.6816       2.9618
   1659.25420       6.2802       4.2269    1409.25420       4.7615       2.9564
   1659.23894       6.3427       4.2137    1409.23894       4.7110       2.8662
   1659.22368       6.2850       4.2191    1409.22368       4.7291       2.9270
   1659.20842       6.2785       4.2674    1409.20842       4.7517       2.9775
   1659.19316       6.3675       4.2611    1409.19316       4.7931       3.0012
   1659.17791       6.3303       4.2113    1409.17791       4.7757       2.8487
   1659.16265       6.2275       4.2125    1409.16265       4.8261       3.0044
   1659.14739       6.2437       4.2319    1409.14739       4.7990       3.0308
   1659.13213       6.3415       4.1827    1409.13213       4.8775       3.0607
   1659.11687       6.2167       4.2796    1409.11687       4.8567       3.0416
   1659.10161       6.2501       4.0507    1409.10161       4.8913       3.1658
   1659.08635       6.2908       4.1272    1409.08635       4.8598       3.1893
   1659.07109      11.0325      23.2871    1409.07109       4.8912       3.1897
   1659.05583       6.1441       4.1066    1409.05583       4.9275       3.1744
   1659.04058       6.1465       4.0033    1409.04058       4.9503       3.2602
   1659.02532       6.1205       4.0826    1409.02532       4.8229       3.7394
   1659.01006       6.1899       4.0349    1409.01006       4.8478       3.2217
   1658.99480       6.2027       4.0303    1408.99480       4.9595       3.1369
   1658.97954       6.1727       4.0759    1408.97954       4.8795       3.3246
   1658.96428       6.1899       4.0563    1408.96428       4.9322       3.3160
   1658.94902       6.2324       4.0554    1408.94902       4.9593       3.4354
   1658.93376       6.0996       4.0745    1408.93376       5.0830       3.3246
