#     FILENAME=Skynet_59472_ngc4565_group2_2_62127_10953.A.onoff.cal.txt
#     BASENAME=Skynet_59472_ngc4565_group2_2_62127_10953
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59472_ngc4565_group2_2_62127
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59472_ngc4565_group2_2_6
#     SCANNAME=2019_06_26_10
#     SRC_NAME=ngc4565_group2_2
#     OBSERVER=sdss2_39397
#     DATE_OBS=2021-09-15T20:53:13.170
#        OBSID=62127
#      SCANNUM=10953
#          MJD=59472.8702913
#          UTC=75193
#     SCANTYPE=onoff
#     DATAMODE=LOWRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
#    LO1Tuning=7000.0000
#     RFFILTER=1355_1435
#        OBSBW=-500.0000
#     EFFBANDW=80.0000
#        NCHAN=1024
#    STARTCHAN=747
#     STOPCHAN=911
#         TINT=0.3020
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=426.68
#     EXPOSURE=401.95
#        FOCUS=37.115
#       RA,DEC=12:36:39.65, 25:59:15.46
#      RA(deg)=190.75590
#     DEC(deg)=25.98740
#   WIDTH(deg)=3.0184x0.0098
#    AZIM(deg)=259.6244
#    ELEV(deg)=55.3465
#     COORDREF=RA_DEC_
#         HREF=189.0870
#         VREF=25.9874
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=21.00, 5.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[0.8, 0.67] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=3 
#      POSTCAL=3 
#     CRYOTEMP=17 
#      BOXTEMP=30 
#         TSYS=YY1:290.49, XX1:224.86
#         TCAL=YY1:9.92, XX1:9.15
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         YY1          XX1 
   1435.25391       1.8374       0.4979 
   1434.76562       1.7516       0.5007 
   1434.27734       1.6284       0.9140 
   1433.78906       1.3458       0.9920 
   1433.30078       1.1792       0.6203 
   1432.81250       0.9906       0.0568 
   1432.32422       0.9620      -0.1725 
   1431.83594       1.0686       0.4206 
   1431.34766      -4.8741       0.9283 
   1430.85938      -6.5785       0.7895 
   1430.37109      -4.4003       0.7740 
   1429.88281       0.9932       0.6418 
   1429.39453       0.9513       0.5240 
   1428.90625       0.7817       0.3048 
   1428.41797       0.8154       0.0198 
   1427.92969       0.9639      -0.2880 
   1427.44141       1.0736      -0.4622 
   1426.95312       1.2357      -0.6725 
   1426.46484       1.5230      -0.1886 
   1425.97656       1.7563       1.9721 
   1425.48828       2.0209       1.6648 
   1425.00000       2.1629      -0.8921 
   1424.51172       9.0404      -0.9118 
   1424.02344      11.0413      -1.1210 
   1423.53516       7.9241      -1.1500 
   1423.04688       2.1577      -1.1505 
   1422.55859       2.0966      -1.2066 
   1422.07031       1.9548      -1.1869 
   1421.58203       1.9063      -1.2111 
   1421.09375       2.0134      -1.3198 
   1420.60547       3.7319      -0.0163 
   1420.11719       2.1923      -1.3661 
   1419.62891       2.2879      -1.4837 
   1419.14062       2.2757      -2.5622 
   1418.65234       2.2327      -2.6754 
   1418.16406       2.0497      -1.8159 
   1417.67578      -1.1402      -1.4406 
   1417.18750      -1.7986      -1.0256 
   1416.69922       0.2601      -0.7716 
   1416.21094       2.2723      -0.4315 
   1415.72266       2.7600       0.0026 
   1415.23438       2.7195       0.0845 
   1414.74609       2.9587       0.1704 
   1414.25781       3.2039       0.2203 
   1413.76953       3.5217       0.3769 
   1413.28125       3.2762       0.1477 
   1412.79297       3.0986       2.8831 
   1412.30469       3.0184       4.0400 
   1411.81641       7.7935       3.0179 
   1411.32812      11.1626      -0.3310 
   1410.83984       9.3112      -0.4456 
   1410.35156       3.2381      -0.5770 
   1409.86328       3.3648      -0.6469 
   1409.37500       3.3306      -0.7307 
   1408.88672       3.0956      -0.7398 
   1408.39844       2.8437      -0.9964 
