#     FILENAME=Skynet_58945_M31_10kpc_radius_44912_54515.A.onoff.cal.txt
#     BASENAME=Skynet_58945_M31_10kpc_radius_44912_54515
#      CONTROL=SKYNET
#     PROJCODE=Skynet_58945_M31_10kpc_radius_44912
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_58945_M31_10kpc_radius_4
#     SCANNAME=2020_03_09_19
#     SRC_NAME=M31_10kpc_radius
#     OBSERVER=unioncollege_21317
#     DATE_OBS=2020-04-06T15:19:03.600
#        OBSID=44912
#      SCANNUM=54515
#          MJD=58945.6382361
#          UTC=55144
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1423.0000,
# Actual_FREQ2=1423.0000
#    LO1Tuning=6873.0000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00013107
#       ACCLEN=2048 
#     DURATION=172.80
#     EXPOSURE=125.98
#        FOCUS=36.939
#       RA,DEC=00:40:33.66, 40:42:16.49
#      RA(deg)=8.73941
#     DEC(deg)=40.70459
#   WIDTH(deg)=2.0214x0.0031
#    AZIM(deg)=74.5890
#    ELEV(deg)=71.8328
#     COORDREF=RA_DEC_
#         HREF=10.0548
#         VREF=40.7046
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=20.00, 4.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[0.16, 0.2] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=15 
#      BOXTEMP=31 
#         TSYS=XX1:36.15, YY1:36.39
#         TSYS=XX2:36.16, YY2:36.41
#         TCAL=XX1:9.18, YY1:10.14
#         TCAL=XX2:9.18, YY2:10.14
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1430.03430       0.2754       0.6259    1430.03430       0.2755       0.6263
   1430.01904       0.1879       0.4556    1430.01904       0.1879       0.4559
   1430.00378       0.1910       0.6219    1430.00378       0.1911       0.6222
   1429.98853       0.2993       0.6032    1429.98853       0.2993       0.6036
   1429.97327       0.2138       0.5388    1429.97327       0.2139       0.5391
   1429.95801       0.3683       0.4895    1429.95801       0.3683       0.4898
   1429.94275       0.3143       0.5559    1429.94275       0.3144       0.5562
   1429.92749       0.2811       0.5413    1429.92749       0.2812       0.5416
   1429.91223       0.2617       0.5382    1429.91223       0.2618       0.5385
   1429.89697       0.4148       0.5680    1429.89697       0.4149       0.5683
   1429.88171       0.1541       0.4199    1429.88171       0.1542       0.4201
   1429.86646       0.1964       0.5059    1429.86646       0.1964       0.5062
   1429.85120       0.2834       0.5897    1429.85120       0.2835       0.5901
   1429.83594       0.2778       0.5899    1429.83594       0.2778       0.5902
   1429.82068       0.2419       0.5568    1429.82068       0.2419       0.5571
   1429.80542       0.2281       0.5756    1429.80542       0.2281       0.5759
   1429.79016       0.3259       0.5931    1429.79016       0.3260       0.5934
   1429.77490       0.3454       0.5389    1429.77490       0.3455       0.5392
   1429.75964       0.3544       0.5367    1429.75964       0.3545       0.5370
   1429.74438       0.2608       0.6389    1429.74438       0.2608       0.6393
   1429.72913       0.3218       0.5582    1429.72913       0.3219       0.5585
   1429.71387       0.3327       0.5826    1429.71387       0.3328       0.5829
   1429.69861       0.3638       0.6058    1429.69861       0.3639       0.6061
   1429.68335       0.3342       0.5423    1429.68335       0.3343       0.5426
   1429.66809       0.3853       0.5256    1429.66809       0.3853       0.5259
   1429.65283       0.3193       0.4634    1429.65283       0.3194       0.4636
   1429.63757       0.3285       0.5408    1429.63757       0.3286       0.5411
   1429.62231       0.3309       0.5735    1429.62231       0.3309       0.5738
   1429.60706       0.3389       0.6086    1429.60706       0.3390       0.6090
   1429.59180       0.2443       0.5213    1429.59180       0.2443       0.5216
   1429.57654       0.3201       0.5970    1429.57654       0.3202       0.5974
   1429.56128       0.3262       0.5948    1429.56128       0.3263       0.5951
   1429.54602       0.2770       0.5496    1429.54602       0.2771       0.5499
   1429.53076       0.2494       0.5943    1429.53076       0.2494       0.5947
   1429.51550       0.4303       0.6780    1429.51550       0.4304       0.6784
