#     FILENAME=Skynet_58945_M31_center_44909_54513.A.onoff.cal.txt
#     BASENAME=Skynet_58945_M31_center_44909_54513
#      CONTROL=SKYNET
#     PROJCODE=Skynet_58945_M31_center_44909
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_58945_M31_center_44909/C
#     SCANNAME=2020_03_09_19
#     SRC_NAME=M31_center
#     OBSERVER=unioncollege_21317
#     DATE_OBS=2020-04-06T10:37:35.410
#        OBSID=44909
#      SCANNUM=54513
#          MJD=58945.4427709
#          UTC=38255
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1423.0000,
# Actual_FREQ2=1423.0000
#    LO1Tuning=6873.0000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00013107
#       ACCLEN=2048 
#     DURATION=170.70
#     EXPOSURE=125.68
#        FOCUS=36.895
#       RA,DEC=00:42:49.47, 41:16:05.68
#      RA(deg)=9.35542
#     DEC(deg)=41.26853
#   WIDTH(deg)=2.0556x0.0307
#    AZIM(deg)=52.9391
#    ELEV(deg)=21.2669
#     COORDREF=RA_DEC_
#         HREF=10.6846
#         VREF=41.2687
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=21.00, 5.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[0.23, 0.2] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=15 
#      BOXTEMP=23 
#         TSYS=XX1:39.30, YY1:39.85
#         TSYS=XX2:39.30, YY2:39.85
#         TCAL=XX1:9.18, YY1:10.14
#         TCAL=XX2:9.18, YY2:10.14
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1430.03430       1.1225       1.3334    1430.03430       1.1225       1.3334
   1430.01904       1.1330       1.2140    1430.01904       1.1330       1.2140
   1430.00378       1.2647       1.2500    1430.00378       1.2647       1.2500
   1429.98853       1.0694       1.2495    1429.98853       1.0694       1.2495
   1429.97327       1.2470       1.2886    1429.97327       1.2469       1.2885
   1429.95801       1.1890       1.2668    1429.95801       1.1890       1.2667
   1429.94275       1.1043       1.2688    1429.94275       1.1043       1.2687
   1429.92749       1.2823       1.2182    1429.92749       1.2822       1.2181
   1429.91223       1.2213       1.2333    1429.91223       1.2212       1.2332
   1429.89697       1.1900       1.2251    1429.89697       1.1899       1.2251
   1429.88171       1.1588       1.1748    1429.88171       1.1588       1.1748
   1429.86646       1.1302       1.3092    1429.86646       1.1302       1.3091
   1429.85120       1.2094       1.2594    1429.85120       1.2094       1.2594
   1429.83594       1.1417       1.2628    1429.83594       1.1417       1.2627
   1429.82068       1.2701       1.3342    1429.82068       1.2700       1.3342
   1429.80542       1.1908       1.2485    1429.80542       1.1907       1.2485
   1429.79016       1.2233       1.2491    1429.79016       1.2233       1.2491
   1429.77490       1.0945       1.3226    1429.77490       1.0945       1.3225
   1429.75964       1.1472       1.1982    1429.75964       1.1472       1.1982
   1429.74438       1.1649       1.2728    1429.74438       1.1649       1.2728
   1429.72913       1.1961       1.2936    1429.72913       1.1961       1.2935
   1429.71387       1.1821       1.2488    1429.71387       1.1821       1.2488
   1429.69861       1.1562       1.1811    1429.69861       1.1561       1.1810
   1429.68335       1.2486       1.2578    1429.68335       1.2485       1.2578
   1429.66809       1.2563       1.1920    1429.66809       1.2563       1.1920
   1429.65283       1.1432       1.2045    1429.65283       1.1432       1.2044
   1429.63757       1.1742       1.3569    1429.63757       1.1742       1.3569
   1429.62231       1.2384       1.2239    1429.62231       1.2384       1.2238
   1429.60706       1.2495       1.2279    1429.60706       1.2495       1.2278
   1429.59180       1.2220       1.2200    1429.59180       1.2220       1.2200
   1429.57654       1.1351       1.2799    1429.57654       1.1351       1.2798
   1429.56128       1.0658       1.3701    1429.56128       1.0658       1.3700
   1429.54602       1.1145       1.2638    1429.54602       1.1144       1.2638
   1429.53076       1.1444       1.1716    1429.53076       1.1443       1.1715
   1429.51550       1.2267       1.3452    1429.51550       1.2267       1.3451
   1429.50024       1.1667       1.1577    1429.50024       1.1667       1.1576
   1429.48499       1.0792       1.3329    1429.48499       1.0791       1.3329
   1429.46973       1.0603       1.2731    1429.46973       1.0603       1.2731
   1429.45447       1.1233       1.3412    1429.45447       1.1233       1.3412
   1429.43921       1.2157       1.2488    1429.43921       1.2157       1.2488
   1429.42395       1.1485       1.2331    1429.42395       1.1485       1.2331
   1429.40869       1.1299       1.2248    1429.40869       1.1299       1.2248
   1429.39343       1.1866       1.1782    1429.39343       1.1866       1.1782
   1429.37817       1.1112       1.1921    1429.37817       1.1112       1.1920
   1429.36292       1.2661       1.1233    1429.36292       1.2660       1.1232
   1429.34766       1.2819       1.2293    1429.34766       1.2819       1.2293
   1429.33240       1.2872       1.2999    1429.33240       1.2872       1.2999
   1429.31714       1.1566       1.2008    1429.31714       1.1566       1.2007
   1429.30188       1.1684       1.2008    1429.30188       1.1683       1.2008
   1429.28662       1.1728       1.1911    1429.28662       1.1728       1.1911
   1429.27136       1.2064       1.2961    1429.27136       1.2063       1.2961
   1429.25610       1.1454       1.2173    1429.25610       1.1454       1.2172
   1429.24084       1.2847       1.3446    1429.24084       1.2847       1.3445
   1429.22559       1.1357       1.2678    1429.22559       1.1357       1.2678
   1429.21033       1.0122       1.2571    1429.21033       1.0122       1.2570
   1429.19507       1.1558       1.3171    1429.19507       1.1558       1.3170
   1429.17981       1.1332       1.2727    1429.17981       1.1332       1.2726
   1429.16455       1.0820       1.1738    1429.16455       1.0820       1.1737
   1429.14929       1.1354       1.3805    1429.14929       1.1354       1.3804
   1429.13403       1.1423       1.2369    1429.13403       1.1422       1.2368
   1429.11877       1.2549       1.3085    1429.11877       1.2549       1.3085
   1429.10352       1.1746       1.2470    1429.10352       1.1746       1.2470
   1429.08826       1.1381       1.2504    1429.08826       1.1381       1.2504
   1429.07300       1.2060       1.2779    1429.07300       1.2060       1.2779
   1429.05774       1.1683       1.3187    1429.05774       1.1683       1.3186
   1429.04248       1.1359       1.2924    1429.04248       1.1359       1.2924
   1429.02722       1.2463       1.2561    1429.02722       1.2463       1.2561
   1429.01196       1.2871       1.2634    1429.01196       1.2871       1.2634
   1428.99670       1.2307       1.1899    1428.99670       1.2307       1.1898
   1428.98145       1.2443       1.3021    1428.98145       1.2442       1.3021
   1428.96619       1.1109       1.2947    1428.96619       1.1109       1.2947
   1428.95093       1.1521       1.3163    1428.95093       1.1521       1.3163
   1428.93567       1.1202       1.1711    1428.93567       1.1201       1.1711
   1428.92041       1.1407       1.2501    1428.92041       1.1406       1.2500
   1428.90515       1.2812       1.2955    1428.90515       1.2812       1.2955
   1428.88989       1.1973       1.2581    1428.88989       1.1973       1.2580
   1428.87463       1.2431       1.3145    1428.87463       1.2431       1.3144
   1428.85938       1.0549       1.2668    1428.85938       1.0548       1.2667
   1428.84412       1.1449       1.3156    1428.84412       1.1448       1.3155
   1428.82886       1.1877       1.1525    1428.82886       1.1877       1.1525
   1428.81360       1.1182       1.2657    1428.81360       1.1182       1.2657
   1428.79834       1.1553       1.3585    1428.79834       1.1553       1.3584
   1428.78308       1.1252       1.2722    1428.78308       1.1252       1.2722
   1428.76782       1.2732       1.2716    1428.76782       1.2731       1.2715
   1428.75256       1.0945       1.2722    1428.75256       1.0945       1.2722
   1428.73730       1.2028       1.3093    1428.73730       1.2027       1.3093
   1428.72205       1.1915       1.3302    1428.72205       1.1914       1.3301
   1428.70679       1.2094       1.1775    1428.70679       1.2093       1.1775
   1428.69153       1.0304       1.2293    1428.69153       1.0304       1.2293
   1428.67627       1.2623       1.3492    1428.67627       1.2623       1.3491
   1428.66101       1.1931       1.3524    1428.66101       1.1931       1.3524
   1428.64575       1.1142       1.3342    1428.64575       1.1141       1.3342
   1428.63049       1.1527       1.2352    1428.63049       1.1527       1.2352
   1428.61523       1.1834       1.3095    1428.61523       1.1833       1.3094
   1428.59998       1.1128       1.2228    1428.59998       1.1128       1.2227
   1428.58472       1.2632       1.3415    1428.58472       1.2632       1.3415
   1428.56946       1.1585       1.3106    1428.56946       1.1584       1.3106
   1428.55420       1.1226       1.3301    1428.55420       1.1226       1.3300
   1428.53894       1.1588       1.2298    1428.53894       1.1588       1.2297
   1428.52368       1.2018       1.3014    1428.52368       1.2018       1.3013
   1428.50842       1.1733       1.2742    1428.50842       1.1732       1.2741
   1428.49316       1.0789       1.2623    1428.49316       1.0789       1.2623
