#     FILENAME=Skynet_58946_M31_20kpc_Radius_44925_54528.A.onoff.cal.txt
#     BASENAME=Skynet_58946_M31_20kpc_Radius_44925_54528
#      CONTROL=SKYNET
#     PROJCODE=Skynet_58946_M31_20kpc_Radius_44925
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_58946_M31_20kpc_Radius_4
#     SCANNAME=2020_03_09_19
#     SRC_NAME=M31_20kpc_Radius
#     OBSERVER=unioncollege_21317
#     DATE_OBS=2020-04-07T20:46:01.500
#        OBSID=44925
#      SCANNUM=54528
#          MJD=58946.8652951
#          UTC=74761
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1423.0000,
# Actual_FREQ2=1423.0000
#    LO1Tuning=6873.0000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=172.20
#     EXPOSURE=125.38
#        FOCUS=36.895
#       RA,DEC=00:38:01.46, 40:08:24.63
#      RA(deg)=8.12113
#     DEC(deg)=40.14051
#   WIDTH(deg)=2.0184x0.0207
#    AZIM(deg)=291.6811
#    ELEV(deg)=44.1740
#     COORDREF=RA_DEC_
#         HREF=9.4250
#         VREF=40.1404
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=19.00, 4.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[0.68, 1.15] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=15 
#      BOXTEMP=37 
#         TSYS=XX1:33.35, YY1:35.23
#         TSYS=XX2:33.35, YY2:35.24
#         TCAL=XX1:9.18, YY1:10.14
#         TCAL=XX2:9.18, YY2:10.14
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1430.03430       0.1760       0.0704    1430.03430       0.1760       0.0705
   1430.01904       0.1413       0.1426    1430.01904       0.1413       0.1427
   1430.00378       0.1266       0.1389    1430.00378       0.1266       0.1390
   1429.98853       0.0940       0.1809    1429.98853       0.0940       0.1809
   1429.97327       0.1567       0.1921    1429.97327       0.1567       0.1922
   1429.95801       0.1368       0.1045    1429.95801       0.1368       0.1045
   1429.94275       0.1128       0.1832    1429.94275       0.1128       0.1832
   1429.92749       0.1959       0.1025    1429.92749       0.1960       0.1026
   1429.91223       0.1424       0.1703    1429.91223       0.1424       0.1703
   1429.89697       0.1296       0.1169    1429.89697       0.1296       0.1169
   1429.88171       0.0956       0.0662    1429.88171       0.0956       0.0663
   1429.86646       0.1323       0.0903    1429.86646       0.1324       0.0903
   1429.85120       0.0748       0.1995    1429.85120       0.0748       0.1996
   1429.83594       0.2177       0.2262    1429.83594       0.2178       0.2263
   1429.82068       0.1522       0.1106    1429.82068       0.1522       0.1106
   1429.80542       0.1387       0.1107    1429.80542       0.1388       0.1108
   1429.79016      -0.0024       0.1322    1429.79016      -0.0024       0.1323
   1429.77490       0.0959       0.1484    1429.77490       0.0959       0.1484
   1429.75964       0.0957       0.1548    1429.75964       0.0957       0.1549
   1429.74438       0.1381       0.0964    1429.74438       0.1381       0.0964
   1429.72913       0.1312       0.0521    1429.72913       0.1312       0.0521
   1429.71387       0.0312       0.0686    1429.71387       0.0312       0.0686
   1429.69861       0.0433       0.1473    1429.69861       0.0434       0.1473
   1429.68335       0.1428       0.1052    1429.68335       0.1429       0.1053
   1429.66809       0.1993       0.0773    1429.66809       0.1993       0.0773
   1429.65283       0.0565       0.1694    1429.65283       0.0566       0.1695
   1429.63757       0.0653       0.1130    1429.63757       0.0653       0.1130
   1429.62231       0.1615       0.1271    1429.62231       0.1615       0.1272
   1429.60706       0.0957       0.0040    1429.60706       0.0958       0.0040
   1429.59180       0.0188       0.1539    1429.59180       0.0188       0.1540
   1429.57654       0.1633       0.0763    1429.57654       0.1633       0.0763
   1429.56128       0.0360       0.1666    1429.56128       0.0360       0.1666
   1429.54602       0.1137       0.0122    1429.54602       0.1137       0.0122
   1429.53076       0.1493       0.0082    1429.53076       0.1493       0.0082
   1429.51550       0.0478       0.1430    1429.51550       0.0478       0.1431
