#     FILENAME=Skynet_58992_M31_25kpc_Jillian_44939_54547.A.onoff.cal.txt
#     BASENAME=Skynet_58992_M31_25kpc_Jillian_44939_54547
#      CONTROL=SKYNET
#     PROJCODE=Skynet_58992_M31_25kpc_Jillian_44939
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_58992_M31_25kpc_Jillian_
#     SCANNAME=2018_05_24_20
#     SRC_NAME=M31_25kpc_Jillian
#     OBSERVER=unioncollege_21317
#     DATE_OBS=2020-05-23T07:33:45.110
#        OBSID=44939
#      SCANNUM=54547
#          MJD=58992.3151054
#          UTC=27225
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1423.0000,
# Actual_FREQ2=1423.0000
#    LO1Tuning=6873.0000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00026214
#       ACCLEN=2048 
#     DURATION=167.40
#     EXPOSURE=125.38
#        FOCUS=36.895
#       RA,DEC=00:36:41.99, 39:51:30.34
#      RA(deg)=7.81751
#     DEC(deg)=39.85828
#   WIDTH(deg)=2.0928x0.0314
#    AZIM(deg)=54.9967
#    ELEV(deg)=21.6299
#     COORDREF=RA_DEC_
#         HREF=9.1100
#         VREF=39.8583
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=17.00, 1.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.23, 1.33] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=296 
#      BOXTEMP=31 
#         TSYS=XX1:119.07, YY1:144.46
#         TSYS=XX2:119.05, YY2:144.35
#         TCAL=XX1:9.18, YY1:10.14
#         TCAL=XX2:9.18, YY2:10.14
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1430.03430       0.8037       1.7717    1430.03430       0.8036       1.7704
   1430.01904       0.9066       1.6245    1430.01904       0.9065       1.6233
   1430.00378       0.9853       1.5336    1430.00378       0.9851       1.5325
   1429.98853       0.7840       1.8207    1429.98853       0.7839       1.8194
   1429.97327       0.8635       1.3495    1429.97327       0.8633       1.3485
   1429.95801       1.0674       1.8884    1429.95801       1.0672       1.8870
   1429.94275       0.9356       1.2757    1429.94275       0.9354       1.2748
   1429.92749       0.5701       1.8697    1429.92749       0.5700       1.8683
   1429.91223       0.7673       1.4493    1429.91223       0.7671       1.4483
   1429.89697       0.7034       1.6629    1429.89697       0.7033       1.6617
   1429.88171       0.8893       1.6984    1429.88171       0.8891       1.6971
   1429.86646       0.8345       1.5919    1429.86646       0.8344       1.5908
   1429.85120       0.7498       1.8298    1429.85120       0.7497       1.8284
   1429.83594       1.0018       1.6454    1429.83594       1.0016       1.6442
   1429.82068       0.6206       1.3597    1429.82068       0.6205       1.3587
   1429.80542       0.9112       1.8963    1429.80542       0.9110       1.8949
   1429.79016       0.9267       1.6816    1429.79016       0.9266       1.6804
   1429.77490       0.8841       1.9482    1429.77490       0.8840       1.9468
   1429.75964       0.5456       1.5872    1429.75964       0.5455       1.5860
   1429.74438       0.9640       1.3503    1429.74438       0.9638       1.3493
   1429.72913       0.6213       1.6645    1429.72913       0.6212       1.6633
   1429.71387       0.7241       1.8232    1429.71387       0.7239       1.8219
   1429.69861       0.8116       1.7324    1429.69861       0.8114       1.7311
   1429.68335       0.8737       1.8869    1429.68335       0.8736       1.8855
   1429.66809       0.5992       2.2724    1429.66809       0.5991       2.2707
   1429.65283       0.9950       1.4369    1429.65283       0.9949       1.4359
   1429.63757       0.5009       1.8555    1429.63757       0.5008       1.8542
   1429.62231       0.6693       1.7668    1429.62231       0.6692       1.7655
   1429.60706       0.6243       1.5902    1429.60706       0.6241       1.5890
   1429.59180       0.9240       1.7818    1429.59180       0.9238       1.7805
   1429.57654       0.9412       1.3525    1429.57654       0.9410       1.3515
   1429.56128       0.4740       1.6317    1429.56128       0.4739       1.6305
   1429.54602       0.9216       1.3685    1429.54602       0.9214       1.3675
   1429.53076       0.9124       1.7637    1429.53076       0.9122       1.7624
   1429.51550       0.9338       1.5052    1429.51550       0.9336       1.5041
