#     FILENAME=Skynet_58992_M31_30kpc_BC_44940_54548.A.onoff.cal.txt
#     BASENAME=Skynet_58992_M31_30kpc_BC_44940_54548
#      CONTROL=SKYNET
#     PROJCODE=Skynet_58992_M31_30kpc_BC_44940
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_58992_M31_30kpc_BC_44940
#     SCANNAME=2018_05_24_20
#     SRC_NAME=M31_30kpc_BC
#     OBSERVER=unioncollege_21317
#     DATE_OBS=2020-05-23T07:37:02.110
#        OBSID=44940
#      SCANNUM=54548
#          MJD=58992.3173855
#          UTC=27422
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1423.0000,
# Actual_FREQ2=1423.0000
#    LO1Tuning=6873.0000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00026214
#       ACCLEN=2048 
#     DURATION=204.60
#     EXPOSURE=157.18
#        FOCUS=36.895
#       RA,DEC=00:35:27.11, 39:34:34.05
#      RA(deg)=7.49594
#     DEC(deg)=39.57616
#   WIDTH(deg)=2.0941x0.0352
#    AZIM(deg)=55.7976
#    ELEV(deg)=22.2730
#     COORDREF=RA_DEC_
#         HREF=8.7951
#         VREF=39.5763
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=17.00, 1.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.23, 1.33] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=296 
#      BOXTEMP=31 
#         TSYS=XX1:120.89, YY1:146.54
#         TSYS=XX2:120.89, YY2:146.62
#         TCAL=XX1:9.18, YY1:10.14
#         TCAL=XX2:9.18, YY2:10.14
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1430.03430       0.9268       1.2543    1430.03430       0.9267       1.2550
   1430.01904       0.7383       1.6165    1430.01904       0.7383       1.6173
   1430.00378       0.6746       1.3974    1430.00378       0.6746       1.3981
   1429.98853       0.7547       1.7450    1429.98853       0.7547       1.7460
   1429.97327       0.7218       1.5870    1429.97327       0.7217       1.5879
   1429.95801       0.7430       1.5949    1429.95801       0.7430       1.5958
   1429.94275       1.1162       1.3493    1429.94275       1.1162       1.3501
   1429.92749       0.6778       1.4180    1429.92749       0.6778       1.4188
   1429.91223       0.8149       1.4842    1429.91223       0.8149       1.4850
   1429.89697       0.6960       1.5371    1429.89697       0.6960       1.5379
   1429.88171       0.6430       1.3687    1429.88171       0.6430       1.3694
   1429.86646       0.7510       1.3776    1429.86646       0.7510       1.3783
   1429.85120       1.1158       1.7254    1429.85120       1.1157       1.7264
   1429.83594       0.6486       1.6119    1429.83594       0.6486       1.6128
   1429.82068       0.7023       1.5728    1429.82068       0.7023       1.5737
   1429.80542       0.7656       1.5480    1429.80542       0.7656       1.5488
   1429.79016       0.9883       1.5133    1429.79016       0.9883       1.5141
   1429.77490       0.8138       1.5936    1429.77490       0.8138       1.5945
   1429.75964       0.4411       1.4937    1429.75964       0.4411       1.4945
   1429.74438       1.0503       1.6788    1429.74438       1.0503       1.6797
   1429.72913       0.9142       1.5350    1429.72913       0.9141       1.5358
   1429.71387       0.7970       1.4719    1429.71387       0.7969       1.4727
   1429.69861       0.7575       1.5896    1429.69861       0.7575       1.5905
   1429.68335       0.8530       1.5448    1429.68335       0.8530       1.5457
   1429.66809       0.4502       1.4361    1429.66809       0.4502       1.4368
   1429.65283       0.8055       1.3447    1429.65283       0.8054       1.3454
   1429.63757       0.6241       1.7150    1429.63757       0.6240       1.7160
   1429.62231       0.6160       1.7670    1429.62231       0.6160       1.7680
   1429.60706       0.7582       1.5225    1429.60706       0.7582       1.5234
   1429.59180       0.8255       1.6608    1429.59180       0.8254       1.6617
   1429.57654       0.6693       1.4930    1429.57654       0.6693       1.4938
   1429.56128       0.8244       1.7079    1429.56128       0.8244       1.7088
   1429.54602       0.8937       1.2168    1429.54602       0.8937       1.2175
   1429.53076       0.5250       1.5576    1429.53076       0.5250       1.5585
   1429.51550       0.5736       1.6683    1429.51550       0.5736       1.6692
