#     FILENAME=Skynet_58992_M31_35kpcRadius_44926_54546.A.onoff.cal.txt
#     BASENAME=Skynet_58992_M31_35kpcRadius_44926_54546
#      CONTROL=SKYNET
#     PROJCODE=Skynet_58992_M31_35kpcRadius_44926
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_58992_M31_35kpcRadius_44
#     SCANNAME=2018_05_24_20
#     SRC_NAME=M31_35kpcRadius
#     OBSERVER=unioncollege_21317
#     DATE_OBS=2020-05-23T07:29:49.360
#        OBSID=44926
#      SCANNUM=54546
#          MJD=58992.3123769
#          UTC=26989
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1423.0000,
# Actual_FREQ2=1423.0000
#    LO1Tuning=6873.0000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00026214
#       ACCLEN=2048 
#     DURATION=205.50
#     EXPOSURE=158.08
#        FOCUS=36.895
#       RA,DEC=00:34:15.49, 39:17:37.60
#      RA(deg)=7.19264
#     DEC(deg)=39.29408
#   WIDTH(deg)=2.0194x0.0308
#    AZIM(deg)=55.3829
#    ELEV(deg)=21.1463
#     COORDREF=RA_DEC_
#         HREF=8.4804
#         VREF=39.2942
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=17.00, 1.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[0.19, 0.62] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=296 
#      BOXTEMP=31 
#         TSYS=XX1:116.84, YY1:144.51
#         TSYS=XX2:116.86, YY2:144.45
#         TCAL=XX1:9.18, YY1:10.14
#         TCAL=XX2:9.18, YY2:10.14
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1430.03430       1.2445       1.7596    1430.03430       1.2447       1.7590
   1430.01904       1.5898       1.5837    1430.01904       1.5902       1.5831
   1430.00378       1.5218       1.6017    1430.00378       1.5221       1.6011
   1429.98853       1.4144       1.0612    1429.98853       1.4147       1.0608
   1429.97327       1.0410       1.7707    1429.97327       1.0412       1.7700
   1429.95801       1.0795       1.6298    1429.95801       1.0797       1.6292
   1429.94275       1.5955       1.6853    1429.94275       1.5958       1.6847
   1429.92749       1.2930       1.9774    1429.92749       1.2933       1.9766
   1429.91223       1.3652       1.8911    1429.91223       1.3655       1.8904
   1429.89697       1.4719       1.8419    1429.89697       1.4722       1.8412
   1429.88171       1.2097       1.8928    1429.88171       1.2099       1.8920
   1429.86646       1.1670       1.8221    1429.86646       1.1672       1.8214
   1429.85120       1.1857       1.7361    1429.85120       1.1859       1.7354
   1429.83594       1.2326       1.9305    1429.83594       1.2329       1.9298
   1429.82068       1.1783       1.5789    1429.82068       1.1786       1.5783
   1429.80542       1.1709       1.7367    1429.80542       1.1711       1.7360
   1429.79016       1.3084       1.8233    1429.79016       1.3087       1.8226
   1429.77490       1.5531       1.8987    1429.77490       1.5535       1.8980
   1429.75964       1.1216       1.7725    1429.75964       1.1218       1.7718
   1429.74438       1.5059       1.9528    1429.74438       1.5062       1.9520
   1429.72913       1.3394       2.0076    1429.72913       1.3397       2.0068
   1429.71387       1.2299       1.5544    1429.71387       1.2301       1.5538
   1429.69861       1.3462       1.7144    1429.69861       1.3464       1.7137
   1429.68335       1.2194       1.7288    1429.68335       1.2196       1.7281
   1429.66809       1.4940       1.4901    1429.66809       1.4943       1.4896
   1429.65283       1.1174       1.7313    1429.65283       1.1177       1.7307
   1429.63757       1.4107       1.7973    1429.63757       1.4110       1.7966
   1429.62231       1.1379       1.8590    1429.62231       1.1382       1.8582
   1429.60706       1.2476       1.6146    1429.60706       1.2479       1.6139
   1429.59180       1.3082       1.6836    1429.59180       1.3084       1.6829
   1429.57654       1.4097       2.0655    1429.57654       1.4100       2.0647
   1429.56128       1.2134       1.6776    1429.56128       1.2136       1.6770
   1429.54602       1.3803       1.4991    1429.54602       1.3806       1.4985
   1429.53076       1.0617       1.5938    1429.53076       1.0619       1.5932
   1429.51550       1.3413       1.7095    1429.51550       1.3416       1.7088
