#     FILENAME=Skynet_59002_M31_5kpcRadiusB_45050_54639.A.onoff.cal.txt
#     BASENAME=Skynet_59002_M31_5kpcRadiusB_45050_54639
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59002_M31_5kpcRadiusB_45050
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59002_M31_5kpcRadiusB_45
#     SCANNAME=2018_05_24_20
#     SRC_NAME=M31_5kpcRadiusB
#     OBSERVER=unioncollege_21317
#     DATE_OBS=2020-06-02T08:02:08.380
#        OBSID=45050
#      SCANNUM=54639
#          MJD=59002.3348192
#          UTC=28928
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1423.0000,
# Actual_FREQ2=1423.0000
#    LO1Tuning=6873.0000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=169.50
#     EXPOSURE=125.98
#        FOCUS=37.071
#       RA,DEC=00:41:48.60, 40:58:42.96
#      RA(deg)=9.06752
#     DEC(deg)=40.97856
#   WIDTH(deg)=2.0411x0.0226
#    AZIM(deg)=60.3407
#    ELEV(deg)=32.6331
#     COORDREF=RA_DEC_
#         HREF=10.3830
#         VREF=40.9786
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=21.00, 5.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.25, 1.04] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=14 
#      BOXTEMP=25 
#         TSYS=XX1:37.34, YY1:37.37
#         TSYS=XX2:37.33, YY2:37.37
#         TCAL=XX1:9.18, YY1:10.14
#         TCAL=XX2:9.18, YY2:10.14
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1430.03430       0.4012       0.6005    1430.03430       0.4012       0.6005
   1430.01904       0.4885       0.5125    1430.01904       0.4884       0.5125
   1430.00378       0.6150       0.6126    1430.00378       0.6149       0.6127
   1429.98853       0.4592       0.5826    1429.98853       0.4591       0.5827
   1429.97327       0.3460       0.5389    1429.97327       0.3460       0.5389
   1429.95801       0.5318       0.6028    1429.95801       0.5318       0.6029
   1429.94275       0.4255       0.5755    1429.94275       0.4254       0.5756
   1429.92749       0.5503       0.5861    1429.92749       0.5503       0.5861
   1429.91223       0.4480       0.5939    1429.91223       0.4479       0.5940
   1429.89697       0.5540       0.5726    1429.89697       0.5540       0.5727
   1429.88171       0.4762       0.5700    1429.88171       0.4762       0.5700
   1429.86646       0.6136       0.5535    1429.86646       0.6136       0.5535
   1429.85120       0.5170       0.5979    1429.85120       0.5169       0.5979
   1429.83594       0.5576       0.6618    1429.83594       0.5575       0.6618
   1429.82068       0.5276       0.5967    1429.82068       0.5275       0.5967
   1429.80542       0.5655       0.6699    1429.80542       0.5655       0.6699
   1429.79016       0.4998       0.5739    1429.79016       0.4997       0.5739
   1429.77490       0.5033       0.5271    1429.77490       0.5033       0.5271
   1429.75964       0.3974       0.5150    1429.75964       0.3974       0.5150
   1429.74438       0.4605       0.6234    1429.74438       0.4605       0.6235
   1429.72913       0.4976       0.5513    1429.72913       0.4975       0.5513
   1429.71387       0.5365       0.6275    1429.71387       0.5364       0.6276
   1429.69861       0.5428       0.5844    1429.69861       0.5427       0.5844
   1429.68335       0.4754       0.5978    1429.68335       0.4753       0.5978
   1429.66809       0.4283       0.5431    1429.66809       0.4283       0.5431
   1429.65283       0.4296       0.4871    1429.65283       0.4296       0.4872
   1429.63757       0.4655       0.5882    1429.63757       0.4654       0.5882
   1429.62231       0.4848       0.5209    1429.62231       0.4848       0.5210
   1429.60706       0.4838       0.4451    1429.60706       0.4838       0.4452
   1429.59180       0.4924       0.5229    1429.59180       0.4923       0.5229
   1429.57654       0.5426       0.6007    1429.57654       0.5425       0.6008
   1429.56128       0.5131       0.5774    1429.56128       0.5131       0.5774
   1429.54602       0.5087       0.6159    1429.54602       0.5086       0.6160
   1429.53076       0.6577       0.5959    1429.53076       0.6576       0.5959
   1429.51550       0.5138       0.5515    1429.51550       0.5137       0.5516
   1429.50024       0.4998       0.5490    1429.50024       0.4997       0.5490
   1429.48499       0.4624       0.5558    1429.48499       0.4623       0.5559
   1429.46973       0.4988       0.5519    1429.46973       0.4987       0.5520
   1429.45447       0.5426       0.5807    1429.45447       0.5426       0.5808
   1429.43921       0.5443       0.5862    1429.43921       0.5443       0.5862
   1429.42395       0.5396       0.5528    1429.42395       0.5395       0.5529
   1429.40869       0.5606       0.5569    1429.40869       0.5606       0.5569
   1429.39343       0.4814       0.5388    1429.39343       0.4813       0.5389
   1429.37817       0.4854       0.5015    1429.37817       0.4853       0.5016
   1429.36292       0.6016       0.5365    1429.36292       0.6016       0.5365
   1429.34766       0.5552       0.5602    1429.34766       0.5551       0.5603
   1429.33240       0.5543       0.4856    1429.33240       0.5542       0.4856
   1429.31714       0.4921       0.5619    1429.31714       0.4920       0.5620
   1429.30188       0.3930       0.6145    1429.30188       0.3929       0.6146
   1429.28662       0.5747       0.5358    1429.28662       0.5746       0.5358
   1429.27136       0.4510       0.6264    1429.27136       0.4509       0.6265
   1429.25610       0.5609       0.5527    1429.25610       0.5608       0.5527
   1429.24084       0.5213       0.5044    1429.24084       0.5213       0.5045
   1429.22559       0.5513       0.5565    1429.22559       0.5512       0.5565
   1429.21033       0.5078       0.6565    1429.21033       0.5078       0.6565
   1429.19507       0.5392       0.5901    1429.19507       0.5391       0.5901
   1429.17981       0.4501       0.6109    1429.17981       0.4500       0.6109
   1429.16455       0.4973       0.5578    1429.16455       0.4972       0.5578
   1429.14929       0.5388       0.5215    1429.14929       0.5387       0.5215
   1429.13403       0.5326       0.5960    1429.13403       0.5325       0.5960
   1429.11877       0.5258       0.6233    1429.11877       0.5257       0.6233
   1429.10352       0.4715       0.5135    1429.10352       0.4715       0.5135
   1429.08826       0.5099       0.4622    1429.08826       0.5098       0.4623
   1429.07300       0.4873       0.4980    1429.07300       0.4873       0.4980
   1429.05774       0.5770       0.5207    1429.05774       0.5770       0.5207
   1429.04248       0.4983       0.5057    1429.04248       0.4983       0.5058
   1429.02722       0.5763       0.4480    1429.02722       0.5762       0.4480
   1429.01196       0.5447       0.4989    1429.01196       0.5446       0.4989
   1428.99670       0.5640       0.5017    1428.99670       0.5639       0.5017
   1428.98145       0.5370       0.5300    1428.98145       0.5369       0.5300
   1428.96619       0.5666       0.4057    1428.96619       0.5665       0.4057
   1428.95093       0.5706       0.4567    1428.95093       0.5705       0.4567
   1428.93567       0.5051       0.5647    1428.93567       0.5050       0.5647
   1428.92041       0.5669       0.5166    1428.92041       0.5669       0.5166
   1428.90515       0.4904       0.6025    1428.90515       0.4903       0.6026
   1428.88989       0.4863       0.4995    1428.88989       0.4863       0.4996
   1428.87463       0.4966       0.5819    1428.87463       0.4965       0.5819
   1428.85938       0.4973       0.4310    1428.85938       0.4972       0.4310
   1428.84412       0.5170       0.4449    1428.84412       0.5169       0.4450
   1428.82886       0.5639       0.5065    1428.82886       0.5638       0.5065
   1428.81360       0.5365       0.5040    1428.81360       0.5364       0.5040
   1428.79834       0.4949       0.4444    1428.79834       0.4949       0.4444
   1428.78308       0.5255       0.5716    1428.78308       0.5254       0.5716
   1428.76782       0.5445       0.4239    1428.76782       0.5444       0.4239
   1428.75256       0.5002       0.4866    1428.75256       0.5001       0.4866
   1428.73730       0.5649       0.4594    1428.73730       0.5649       0.4595
   1428.72205       0.5034       0.3953    1428.72205       0.5034       0.3953
   1428.70679       0.4207       0.4713    1428.70679       0.4206       0.4713
   1428.69153       0.4370       0.5076    1428.69153       0.4369       0.5077
   1428.67627       0.4852       0.4276    1428.67627       0.4852       0.4277
   1428.66101       0.5246       0.4028    1428.66101       0.5246       0.4028
   1428.64575       0.4578       0.4873    1428.64575       0.4578       0.4873
   1428.63049       0.5535       0.4494    1428.63049       0.5535       0.4494
   1428.61523       0.4976       0.4217    1428.61523       0.4976       0.4218
   1428.59998       0.5902       0.4505    1428.59998       0.5901       0.4505
   1428.58472       0.5400       0.5138    1428.58472       0.5400       0.5138
