#     FILENAME=Skynet_59202_M31_51605_573.A.onoff.cal.txt
#     BASENAME=Skynet_59202_M31_51605_573
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59202_M31_51605
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59202_M31_51605/Cyborg
#     SCANNAME=2019_06_26_10
#     SRC_NAME=M31
#     OBSERVER=haverford2_26746
#     DATE_OBS=2020-12-19T20:02:19.250
#        OBSID=51605
#      SCANNUM=573
#          MJD=59202.834945
#          UTC=72139
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8800,
# Actual_FREQ2=1390.6300
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.9999
#         TBIN=0.00013107
#       ACCLEN=2048 
#     DURATION=452.00
#     EXPOSURE=401.98
#        FOCUS=37.071
#       RA,DEC=00:43:00.33, 41:16:08.83
#      RA(deg)=12.68587
#     DEC(deg)=41.26923
#   WIDTH(deg)=3.0230x0.0090
#    AZIM(deg)=65.0673
#    ELEV(deg)=42.9671
#     COORDREF=RA_DEC_
#         HREF=10.6846
#         VREF=41.2692
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=22.00, 15.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.82, 3.18] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=5 
#      POSTCAL=5 
#     CRYOTEMP=23 
#      BOXTEMP=32 
#         TSYS=XX1:38.36, YY1:49.89
#         TSYS=XX2:42.27, YY2:43.72
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.14, YY2:9.87
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91430       1.0916       0.8580    1397.66430       0.9548       1.3420
   1428.89904       1.0710       0.8879    1397.64904       0.9971       1.2870
   1428.88378       1.0550       0.8952    1397.63378       1.0366       1.3451
   1428.86853       1.1243       0.8752    1397.61853       1.0004       1.3748
   1428.85327       1.0954       0.8645    1397.60327       0.9622       1.3501
   1428.83801       1.1006       0.7881    1397.58801       0.9179       1.3007
   1428.82275       1.1083       0.8748    1397.57275       0.9711       1.3231
   1428.80749       1.0739       0.8651    1397.55749       0.8905       1.3393
   1428.79223       1.0382       0.8268    1397.54223       0.8906       1.2452
   1428.77697       1.0499       0.8429    1397.52697       0.8812       1.3333
   1428.76171       1.0457       0.8362    1397.51171       0.8742       1.2644
   1428.74646       1.1010       0.8180    1397.49646       0.8952       1.3046
   1428.73120       1.0911       0.8684    1397.48120       0.8446       1.2578
   1428.71594       1.0837       0.8668    1397.46594       0.8062       1.3140
   1428.70068       1.0815       0.9426    1397.45068       0.8662       1.2451
   1428.68542       1.1082       0.7713    1397.43542       0.6882       1.2467
   1428.67016       1.0987       0.7291    1397.42016       0.7394       1.2258
   1428.65490       1.0466       0.8657    1397.40490       0.5960       1.2320
   1428.63964       1.0655       0.8708    1397.38964       0.7970       1.2356
   1428.62438       1.0718       0.8594    1397.37438       0.6871       1.2027
   1428.60913       1.0334       0.8005    1397.35913       0.6818       1.1748
   1428.59387       1.0341       0.7770    1397.34387       0.5801       1.1264
   1428.57861       1.0107       0.7801    1397.32861       0.3992       1.0786
   1428.56335       1.0602       0.8569    1397.31335       0.5774       1.1012
   1428.54809       1.0357       0.7606    1397.29809       0.5062       1.1168
   1428.53283       1.0353       0.8675    1397.28283       0.5552       1.0617
   1428.51757       0.9971       0.8541    1397.26757       0.4788       1.1174
   1428.50231       1.0652       0.8012    1397.25231       0.4169       1.0217
   1428.48706       1.0389       0.7609    1397.23706       0.3267       1.1205
   1428.47180       0.9957       0.8195    1397.22180       0.1861       1.0323
   1428.45654       0.9927       0.8120    1397.20654       0.3838       1.0903
   1428.44128       0.9840       0.8544    1397.19128       0.5871       1.0793
   1428.42602       1.0353       0.8455    1397.17602       0.5205       1.0774
   1428.41076       1.0014       0.8303    1397.16076       0.3577       0.9541
   1428.39550       1.0125       0.7679    1397.14550       0.1330       0.9860
   1428.38024       0.9803       0.8459    1397.13024       0.2870       0.9604
   1428.36499       0.9905       0.8318    1397.11499       0.2600       1.0588
   1428.34973       1.0183       0.7858    1397.09973       0.2981       0.9680
   1428.33447       1.0625       0.8263    1397.08447       0.4276       1.0100
   1428.31921       0.9997       0.8037    1397.06921       0.2517       1.0136
   1428.30395       1.0428       0.8279    1397.05395       0.4176       0.9433
   1428.28869       1.0079       0.7648    1397.03869       0.1588       1.0016
   1428.27343       0.9449       0.7697    1397.02343       0.2228       0.9021
   1428.25817       0.9023       0.7933    1397.00817       0.2331       0.9983
   1428.24292       1.0027       0.7523    1396.99292       0.4044       1.0601
   1428.22766       1.0091       0.7520    1396.97766       0.4647       0.9620
   1428.21240       0.9539       0.8177    1396.96240       0.2299       0.8863
   1428.19714       0.9260       0.8004    1396.94714       0.2753       0.9187
   1428.18188       0.9821       0.7694    1396.93188       0.3839       1.0975
   1428.16662       0.9971       0.8353    1396.91662       0.2209       0.7487
   1428.15136       0.9568       0.8296    1396.90136       0.3342       0.8437
   1428.13610       0.9260       0.7858    1396.88610       0.4366       0.9192
   1428.12084       0.9567       0.7553    1396.87084       0.3419       0.8728
   1428.10559       0.9554       0.7456    1396.85559       0.3004       0.9115
   1428.09033       0.9699       0.7299    1396.84033       0.4277       0.8548
   1428.07507       0.9387       0.7746    1396.82507       0.3263       0.8666
   1428.05981       0.9323       0.7023    1396.80981       0.4525       0.8834
   1428.04455       0.9282       0.8338    1396.79455       0.5298       0.9642
   1428.02929       0.9855       0.7043    1396.77929       0.4416       0.8831
   1428.01403       0.9001       0.7111    1396.76403       0.3646       0.8779
   1427.99877       0.9761       0.7250    1396.74877       0.5935       0.8927
   1427.98352       0.8993       0.8087    1396.73352       0.4845       0.9500
   1427.96826       0.9107       0.7410    1396.71826       0.5291       0.9374
   1427.95300       0.9081       0.7488    1396.70300       0.4933       0.8814
   1427.93774       0.8407       0.6887    1396.68774       0.6069       0.8440
   1427.92248       0.8909       0.7740    1396.67248       0.6997       0.9618
   1427.90722       0.8982       0.7389    1396.65722       0.5754       0.9199
   1427.89196       0.8649       0.7360    1396.64196       0.5538       0.9080
   1427.87670       0.8817       0.7436    1396.62670       0.6382       0.9556
   1427.86145       0.8736       0.7054    1396.61145       0.7189       0.9516
   1427.84619       0.8866       0.6778    1396.59619       0.6776       0.9185
   1427.83093       0.9144       0.7520    1396.58093       0.6357       0.9165
   1427.81567       0.8803       0.7377    1396.56567       0.6824       0.9165
   1427.80041       0.9127       0.7515    1396.55041       0.7879       0.9640
   1427.78515       0.9254       0.6900    1396.53515       0.8525       0.8841
   1427.76989       0.8967       0.6946    1396.51989       0.7313       0.9880
