#     FILENAME=Skynet_59212_ASTRO_204_M31_JuliaMoylan_51656_627.A.onoff.cal.txt
#     BASENAME=Skynet_59212_ASTRO_204_M31_JuliaMoylan_51656_627
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59212_ASTRO_204_M31_JuliaMoylan_51656
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59212_ASTRO_204_M31_Juli
#     SCANNAME=2019_06_26_10
#     SRC_NAME=ASTRO_204_M31_JuliaMoylan
#     OBSERVER=haverford2_26746
#     DATE_OBS=2020-12-29T22:03:06.980
#        OBSID=51656
#      SCANNUM=627
#          MJD=59212.9188308
#          UTC=79387
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8000,
# Actual_FREQ2=1390.5500
#    LO1Tuning=6856.1800
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.9999
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=448.00
#     EXPOSURE=402.98
#        FOCUS=37.071
#       RA,DEC=00:42:59.44, 41:16:07.17
#      RA(deg)=12.68076
#     DEC(deg)=41.26880
#   WIDTH(deg)=3.0192x0.0015
#    AZIM(deg)=72.6165
#    ELEV(deg)=72.6186
#     COORDREF=RA_DEC_
#         HREF=10.6847
#         VREF=41.2688
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=22.00, 15.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.76, 3.08] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=5 
#      POSTCAL=5 
#     CRYOTEMP=24 
#      BOXTEMP=33 
#         TSYS=XX1:35.46, YY1:43.40
#         TSYS=XX2:40.31, YY2:40.08
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.14, YY2:9.87
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.83430       0.7574       0.3423    1397.58430       1.0927       0.7909
   1428.81904       0.7398       0.3087    1397.56904       1.0427       0.7664
   1428.80378       0.6781       0.3041    1397.55378       1.0853       0.7924
   1428.78853       0.7396       0.3242    1397.53853       1.0498       0.7464
   1428.77327       0.7649       0.3312    1397.52327       1.1099       0.6823
   1428.75801       0.7550       0.3364    1397.50801       1.0709       0.7511
   1428.74275       0.7547       0.2386    1397.49275       0.9911       0.6696
   1428.72749       0.7429       0.2994    1397.47749       1.0604       0.6339
   1428.71223       0.7189       0.2044    1397.46223       1.0568       0.7287
   1428.69697       0.7396       0.2674    1397.44697       1.0639       0.6941
   1428.68171       0.7458       0.3335    1397.43171       0.9930       0.6610
   1428.66646       0.7528       0.3180    1397.41646       1.0471       0.6733
   1428.65120       0.7495       0.2371    1397.40120       1.0794       0.6834
   1428.63594       0.7021       0.2588    1397.38594       1.0382       0.6471
   1428.62068       0.6900       0.3236    1397.37068       1.1161       0.6428
   1428.60542       0.7452       0.2912    1397.35542       1.0121       0.5443
   1428.59016       0.7601       0.2333    1397.34016       1.0130       0.6540
   1428.57490       0.7168       0.3334    1397.32490       0.9804       0.5940
   1428.55964       0.7372       0.2266    1397.30964       1.0153       0.5959
   1428.54438       0.7392       0.2691    1397.29438       0.9526       0.4665
   1428.52913       0.7399       0.1866    1397.27913       0.9802       0.5846
   1428.51387       0.7241       0.2568    1397.26387       0.9546       0.5099
   1428.49861       0.7235       0.2129    1397.24861       0.9956       0.4857
   1428.48335       0.7317       0.2802    1397.23335       0.9874       0.4963
   1428.46809       0.7021       0.2527    1397.21809       0.9824       0.5090
   1428.45283       0.7065       0.2573    1397.20283       0.9838       0.5075
   1428.43757       0.7411       0.1895    1397.18757       0.9603       0.3791
   1428.42231       0.7629       0.2689    1397.17231       0.9359       0.4071
   1428.40706       0.7516       0.1966    1397.15706       0.9960       0.5158
   1428.39180       0.7216       0.1176    1397.14180       0.9450       0.4933
   1428.37654       0.7069       0.1309    1397.12654       0.9151       0.4674
   1428.36128       0.7173       0.1365    1397.11128       0.9955       0.3668
   1428.34602       0.6889       0.2320    1397.09602       0.9787       0.4901
   1428.33076       0.7039       0.1776    1397.08076       0.9394       0.4002
   1428.31550       0.7404       0.2150    1397.06550       0.9632       0.5096
   1428.30024       0.7095       0.1646    1397.05024       0.9271       0.4957
