#     FILENAME=Skynet_59284_M31_10kpc_JWei_52425_1409.A.onoff.cal.txt
#     BASENAME=Skynet_59284_M31_10kpc_JWei_52425_1409
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59284_M31_10kpc_JWei_52425
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59284_M31_10kpc_JWei_524
#     SCANNAME=2019_06_26_10
#     SRC_NAME=M31_10kpc_JWei
#     OBSERVER=unioncollege_21317
#     DATE_OBS=2021-03-11T12:48:16.260
#        OBSID=52425
#      SCANNUM=1409
#          MJD=59284.5335215
#          UTC=46096
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1420.4000,
# Actual_FREQ2=1420.4000
#    LO1Tuning=6870.4000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=168.60
#     EXPOSURE=125.08
#        FOCUS=37.071
#       RA,DEC=00:40:37.47, 40:42:02.64
#      RA(deg)=8.77026
#     DEC(deg)=40.70096
#   WIDTH(deg)=2.0938x0.0261
#    AZIM(deg)=56.6482
#    ELEV(deg)=25.7771
#     COORDREF=RA_DEC_
#         HREF=10.0879
#         VREF=40.7011
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=20.00, 14.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[2.36, 1.29] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=15 
#      BOXTEMP=26 
#         TSYS=XX1:33.12, YY1:40.53
#         TSYS=XX2:33.12, YY2:40.52
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.17, YY2:10.07
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1427.43430       0.7020       0.7804    1427.43430       0.7019       0.7802
   1427.41904       0.7106       0.7570    1427.41904       0.7106       0.7569
   1427.40378       0.6952       0.8739    1427.40378       0.6952       0.8737
   1427.38853       0.7214       0.8212    1427.38853       0.7213       0.8211
   1427.37327       0.7081       0.7421    1427.37327       0.7081       0.7419
   1427.35801       0.7537       0.7872    1427.35801       0.7537       0.7871
   1427.34275       0.7121       0.7151    1427.34275       0.7120       0.7149
   1427.32749       0.6878       0.6681    1427.32749       0.6877       0.6680
   1427.31223       0.6615       0.9013    1427.31223       0.6615       0.9011
   1427.29697       0.6800       0.8684    1427.29697       0.6800       0.8682
   1427.28171       0.7328       0.7451    1427.28171       0.7328       0.7450
   1427.26646       0.7192       0.7493    1427.26646       0.7192       0.7492
   1427.25120       0.6994       0.7003    1427.25120       0.6993       0.7002
   1427.23594       0.6533       0.7864    1427.23594       0.6533       0.7863
   1427.22068       0.7226       0.7181    1427.22068       0.7226       0.7180
   1427.20542       0.6534       0.7637    1427.20542       0.6534       0.7636
   1427.19016       0.7300       0.8273    1427.19016       0.7299       0.8271
   1427.17490       0.6532       0.8264    1427.17490       0.6532       0.8263
   1427.15964       0.7093       0.7529    1427.15964       0.7093       0.7528
   1427.14438       0.6590       0.7032    1427.14438       0.6590       0.7030
   1427.12913       0.7315       0.7098    1427.12913       0.7314       0.7097
   1427.11387       0.6128       0.8162    1427.11387       0.6128       0.8160
   1427.09861       0.5501       0.7870    1427.09861       0.5501       0.7869
   1427.08335       0.6556       0.8387    1427.08335       0.6556       0.8385
   1427.06809       0.7015       0.8298    1427.06809       0.7015       0.8296
   1427.05283       0.7097       0.8235    1427.05283       0.7097       0.8233
   1427.03757       0.7021       0.8474    1427.03757       0.7021       0.8473
   1427.02231       0.6394       0.8328    1427.02231       0.6394       0.8326
   1427.00706       0.6665       0.8041    1427.00706       0.6665       0.8040
   1426.99180       0.7559       0.8243    1426.99180       0.7559       0.8242
   1426.97654       0.6389       0.8825    1426.97654       0.6389       0.8823
   1426.96128       0.7500       0.7509    1426.96128       0.7500       0.7507
   1426.94602       0.6413       0.8410    1426.94602       0.6413       0.8409
   1426.93076       0.6447       0.8248    1426.93076       0.6447       0.8246
   1426.91550       0.7397       0.8407    1426.91550       0.7397       0.8405
