#     FILENAME=Skynet_59284_M31_15kpc_MBoyle_52426_1406.A.onoff.cal.txt
#     BASENAME=Skynet_59284_M31_15kpc_MBoyle_52426_1406
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59284_M31_15kpc_MBoyle_52426
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59284_M31_15kpc_MBoyle_5
#     SCANNAME=2019_06_26_10
#     SRC_NAME=M31_15kpc_MBoyle
#     OBSERVER=unioncollege_21317
#     DATE_OBS=2021-03-11T12:38:22.260
#        OBSID=52426
#      SCANNUM=1406
#          MJD=59284.5266465
#          UTC=45502
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1420.4000,
# Actual_FREQ2=1420.4000
#    LO1Tuning=6870.4000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=166.80
#     EXPOSURE=125.98
#        FOCUS=37.093
#       RA,DEC=00:39:27.21, 40:24:31.40
#      RA(deg)=8.48720
#     DEC(deg)=40.40885
#   WIDTH(deg)=2.0936x0.0319
#    AZIM(deg)=56.0005
#    ELEV(deg)=24.1877
#     COORDREF=RA_DEC_
#         HREF=9.7900
#         VREF=40.4090
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=21.00, 14.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.12, 1.19] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=15 
#      BOXTEMP=26 
#         TSYS=XX1:34.16, YY1:41.42
#         TSYS=XX2:34.16, YY2:41.40
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.17, YY2:10.07
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1427.43430       0.4046       0.5403    1427.43430       0.4046       0.5402
   1427.41904       0.3858       0.4222    1427.41904       0.3858       0.4220
   1427.40378       0.4093       0.4650    1427.40378       0.4092       0.4649
   1427.38853       0.4304       0.5640    1427.38853       0.4303       0.5638
   1427.37327       0.4797       0.5126    1427.37327       0.4796       0.5124
   1427.35801       0.4772       0.4515    1427.35801       0.4770       0.4513
   1427.34275       0.4919       0.4693    1427.34275       0.4918       0.4692
   1427.32749       0.4126       0.4867    1427.32749       0.4125       0.4865
   1427.31223       0.3993       0.4981    1427.31223       0.3992       0.4979
   1427.29697       0.3655       0.5831    1427.29697       0.3654       0.5829
   1427.28171       0.5256       0.4691    1427.28171       0.5255       0.4689
   1427.26646       0.5089       0.4701    1427.26646       0.5088       0.4699
   1427.25120       0.4284       0.4624    1427.25120       0.4283       0.4623
   1427.23594       0.4136       0.4224    1427.23594       0.4135       0.4223
   1427.22068       0.3992       0.4566    1427.22068       0.3991       0.4565
   1427.20542       0.4637       0.5147    1427.20542       0.4636       0.5145
   1427.19016       0.4766       0.4435    1427.19016       0.4765       0.4434
   1427.17490       0.4480       0.5176    1427.17490       0.4479       0.5174
   1427.15964       0.4083       0.5297    1427.15964       0.4082       0.5295
   1427.14438       0.3724       0.4409    1427.14438       0.3723       0.4408
   1427.12913       0.4588       0.4216    1427.12913       0.4587       0.4215
   1427.11387       0.3787       0.4319    1427.11387       0.3787       0.4317
   1427.09861       0.4232       0.5627    1427.09861       0.4231       0.5625
   1427.08335       0.5573       0.3906    1427.08335       0.5571       0.3905
   1427.06809       0.4445       0.3127    1427.06809       0.4444       0.3126
   1427.05283       0.4480       0.4838    1427.05283       0.4479       0.4836
   1427.03757       0.4265       0.4458    1427.03757       0.4264       0.4457
   1427.02231       0.4499       0.4634    1427.02231       0.4498       0.4632
   1427.00706       0.4065       0.4398    1427.00706       0.4064       0.4397
   1426.99180       0.4981       0.4588    1426.99180       0.4980       0.4586
   1426.97654       0.5143       0.3436    1426.97654       0.5142       0.3435
   1426.96128       0.4781       0.4172    1426.96128       0.4780       0.4171
   1426.94602       0.4351       0.4432    1426.94602       0.4350       0.4430
   1426.93076       0.3500       0.4892    1426.93076       0.3499       0.4890
   1426.91550       0.4798       0.4050    1426.91550       0.4797       0.4049
