#     FILENAME=Skynet_59284_M31_20kpc_ABurns_52427_1405.A.onoff.cal.txt
#     BASENAME=Skynet_59284_M31_20kpc_ABurns_52427_1405
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59284_M31_20kpc_ABurns_52427
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59284_M31_20kpc_ABurns_5
#     SCANNAME=2019_06_26_10
#     SRC_NAME=M31_20kpc_ABurns
#     OBSERVER=unioncollege_21317
#     DATE_OBS=2021-03-11T12:34:22.190
#        OBSID=52427
#      SCANNUM=1405
#          MJD=59284.5238679
#          UTC=45262
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1420.4000,
# Actual_FREQ2=1420.4000
#    LO1Tuning=6870.4000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=206.40
#     EXPOSURE=156.28
#        FOCUS=37.071
#       RA,DEC=00:38:15.07, 40:06:59.49
#      RA(deg)=8.19006
#     DEC(deg)=40.11679
#   WIDTH(deg)=2.0936x0.0264
#    AZIM(deg)=56.0098
#    ELEV(deg)=23.6343
#     COORDREF=RA_DEC_
#         HREF=9.4917
#         VREF=40.1169
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=21.00, 14.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.09, 1.32] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=15 
#      BOXTEMP=26 
#         TSYS=XX1:34.54, YY1:42.00
#         TSYS=XX2:34.53, YY2:41.99
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.17, YY2:10.07
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1427.43430       0.3920       0.5621    1427.43430       0.3919       0.5619
   1427.41904       0.3867       0.4677    1427.41904       0.3867       0.4676
   1427.40378       0.4414       0.4374    1427.40378       0.4413       0.4373
   1427.38853       0.3388       0.4647    1427.38853       0.3387       0.4645
   1427.37327       0.2994       0.4219    1427.37327       0.2994       0.4218
   1427.35801       0.3749       0.4601    1427.35801       0.3748       0.4600
   1427.34275       0.3408       0.3741    1427.34275       0.3407       0.3740
   1427.32749       0.3741       0.4589    1427.32749       0.3740       0.4588
   1427.31223       0.3498       0.3929    1427.31223       0.3497       0.3928
   1427.29697       0.4032       0.3867    1427.29697       0.4031       0.3866
   1427.28171       0.2364       0.4611    1427.28171       0.2364       0.4610
   1427.26646       0.3639       0.4209    1427.26646       0.3639       0.4208
   1427.25120       0.4808       0.4037    1427.25120       0.4807       0.4036
   1427.23594       0.3256       0.4662    1427.23594       0.3256       0.4661
   1427.22068       0.3595       0.5166    1427.22068       0.3594       0.5164
   1427.20542       0.4715       0.3654    1427.20542       0.4714       0.3653
   1427.19016       0.3516       0.4302    1427.19016       0.3515       0.4301
   1427.17490       0.3046       0.4244    1427.17490       0.3045       0.4243
   1427.15964       0.3679       0.3605    1427.15964       0.3678       0.3604
   1427.14438       0.3459       0.4738    1427.14438       0.3458       0.4737
   1427.12913       0.4143       0.4458    1427.12913       0.4143       0.4457
   1427.11387       0.2933       0.4542    1427.11387       0.2933       0.4541
   1427.09861       0.3486       0.4141    1427.09861       0.3485       0.4140
   1427.08335       0.3045       0.4216    1427.08335       0.3045       0.4215
   1427.06809       0.3148       0.4831    1427.06809       0.3148       0.4829
   1427.05283       0.4014       0.4162    1427.05283       0.4013       0.4160
   1427.03757       0.4261       0.3794    1427.03757       0.4260       0.3793
   1427.02231       0.3706       0.4014    1427.02231       0.3705       0.4013
   1427.00706       0.3855       0.4496    1427.00706       0.3854       0.4495
   1426.99180       0.4221       0.4204    1426.99180       0.4221       0.4203
   1426.97654       0.3081       0.4380    1426.97654       0.3080       0.4379
   1426.96128       0.3377       0.4593    1426.96128       0.3377       0.4592
   1426.94602       0.3820       0.4644    1426.94602       0.3819       0.4643
   1426.93076       0.3544       0.3879    1426.93076       0.3543       0.3878
   1426.91550       0.4041       0.4841    1426.91550       0.4041       0.4839
