#     FILENAME=Skynet_59284_M31_25kpc_AAhmed_52428_1404.A.onoff.cal.txt
#     BASENAME=Skynet_59284_M31_25kpc_AAhmed_52428_1404
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59284_M31_25kpc_AAhmed_52428
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59284_M31_25kpc_AAhmed_5
#     SCANNAME=2019_06_26_10
#     SRC_NAME=M31_25kpc_AAhmed
#     OBSERVER=unioncollege_21317
#     DATE_OBS=2021-03-11T12:29:41.260
#        OBSID=52428
#      SCANNUM=1404
#          MJD=59284.5206164
#          UTC=44981
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1420.4000,
# Actual_FREQ2=1420.4000
#    LO1Tuning=6870.4000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=246.30
#     EXPOSURE=189.57
#        FOCUS=37.093
#       RA,DEC=00:37:03.12, 39:49:30.41
#      RA(deg)=7.89428
#     DEC(deg)=39.82451
#   WIDTH(deg)=2.0947x0.0294
#    AZIM(deg)=55.9383
#    ELEV(deg)=22.9663
#     COORDREF=RA_DEC_
#         HREF=9.1933
#         VREF=39.8247
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=21.00, 14.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.16, 2.14] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=15 
#      BOXTEMP=26 
#         TSYS=XX1:34.39, YY1:42.00
#         TSYS=XX2:34.39, YY2:41.97
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.17, YY2:10.07
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1427.43430       0.5316       0.3455    1427.43430       0.5317       0.3452
   1427.41904       0.5405       0.4782    1427.41904       0.5406       0.4778
   1427.40378       0.5728       0.3534    1427.40378       0.5729       0.3532
   1427.38853       0.5372       0.3520    1427.38853       0.5373       0.3518
   1427.37327       0.4990       0.3257    1427.37327       0.4991       0.3254
   1427.35801       0.5507       0.4440    1427.35801       0.5508       0.4437
   1427.34275       0.5074       0.4141    1427.34275       0.5075       0.4138
   1427.32749       0.6070       0.3091    1427.32749       0.6071       0.3089
   1427.31223       0.5550       0.3177    1427.31223       0.5551       0.3175
   1427.29697       0.5963       0.3616    1427.29697       0.5964       0.3613
   1427.28171       0.5808       0.3824    1427.28171       0.5809       0.3822
   1427.26646       0.5421       0.3364    1427.26646       0.5422       0.3362
   1427.25120       0.4792       0.2878    1427.25120       0.4793       0.2876
   1427.23594       0.5348       0.3073    1427.23594       0.5349       0.3071
   1427.22068       0.4381       0.3760    1427.22068       0.4382       0.3758
   1427.20542       0.5364       0.3737    1427.20542       0.5365       0.3734
   1427.19016       0.4714       0.3461    1427.19016       0.4715       0.3459
   1427.17490       0.5653       0.3316    1427.17490       0.5654       0.3314
   1427.15964       0.5717       0.3781    1427.15964       0.5718       0.3779
   1427.14438       0.5704       0.3758    1427.14438       0.5705       0.3755
   1427.12913       0.5231       0.3239    1427.12913       0.5232       0.3237
   1427.11387       0.5565       0.4109    1427.11387       0.5565       0.4106
   1427.09861       0.5306       0.3369    1427.09861       0.5307       0.3367
   1427.08335       0.5659       0.3617    1427.08335       0.5660       0.3615
   1427.06809       0.5542       0.3486    1427.06809       0.5543       0.3484
   1427.05283       0.6244       0.3263    1427.05283       0.6245       0.3261
   1427.03757       0.5860       0.3494    1427.03757       0.5861       0.3492
   1427.02231       0.5973       0.4190    1427.02231       0.5974       0.4188
   1427.00706       0.5064       0.3657    1427.00706       0.5064       0.3654
   1426.99180       0.5811       0.2973    1426.99180       0.5812       0.2971
   1426.97654       0.5690       0.3978    1426.97654       0.5691       0.3975
   1426.96128       0.5064       0.3933    1426.96128       0.5065       0.3930
   1426.94602       0.5466       0.4167    1426.94602       0.5467       0.4164
   1426.93076       0.5016       0.4061    1426.93076       0.5017       0.4058
   1426.91550       0.5146       0.3937    1426.91550       0.5147       0.3935
