#     FILENAME=Skynet_59284_M31_30kpc_MBilakhia_52429_1403.A.onoff.cal.txt
#     BASENAME=Skynet_59284_M31_30kpc_MBilakhia_52429_1403
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59284_M31_30kpc_MBilakhia_52429
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59284_M31_30kpc_MBilakhi
#     SCANNAME=2019_06_26_10
#     SRC_NAME=M31_30kpc_MBilakhia
#     OBSERVER=unioncollege_21317
#     DATE_OBS=2021-03-11T12:25:02.260
#        OBSID=52429
#      SCANNUM=1403
#          MJD=59284.5173873
#          UTC=44702
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1420.4000,
# Actual_FREQ2=1420.4000
#    LO1Tuning=6870.4000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=245.10
#     EXPOSURE=187.47
#        FOCUS=37.071
#       RA,DEC=00:35:51.49, 39:31:57.47
#      RA(deg)=7.60335
#     DEC(deg)=39.53248
#   WIDTH(deg)=2.0955x0.0338
#    AZIM(deg)=55.8211
#    ELEV(deg)=22.2405
#     COORDREF=RA_DEC_
#         HREF=8.8950
#         VREF=39.5326
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=21.00, 15.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.23, 1.22] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=15 
#      BOXTEMP=26 
#         TSYS=XX1:35.61, YY1:42.81
#         TSYS=XX2:35.61, YY2:42.83
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.17, YY2:10.07
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1427.43430       1.0208       0.3830    1427.43430       1.0207       0.3831
   1427.41904       0.9744       0.5272    1427.41904       0.9743       0.5274
   1427.40378       1.0331       0.5121    1427.40378       1.0330       0.5124
   1427.38853       1.0304       0.4958    1427.38853       1.0303       0.4960
   1427.37327       0.9016       0.3850    1427.37327       0.9015       0.3852
   1427.35801       0.9900       0.4108    1427.35801       0.9899       0.4109
   1427.34275       1.0327       0.3655    1427.34275       1.0326       0.3656
   1427.32749       1.0397       0.4617    1427.32749       1.0396       0.4619
   1427.31223       1.0051       0.4069    1427.31223       1.0050       0.4071
   1427.29697       1.0213       0.4694    1427.29697       1.0212       0.4696
   1427.28171       0.9783       0.3962    1427.28171       0.9782       0.3964
   1427.26646       1.0238       0.4467    1427.26646       1.0237       0.4469
   1427.25120       0.9987       0.5116    1427.25120       0.9986       0.5119
   1427.23594       0.9489       0.4910    1427.23594       0.9488       0.4912
   1427.22068       1.0537       0.4077    1427.22068       1.0536       0.4079
   1427.20542       0.9880       0.4909    1427.20542       0.9879       0.4911
   1427.19016       1.0185       0.4816    1427.19016       1.0184       0.4818
   1427.17490       0.9919       0.4637    1427.17490       0.9918       0.4639
   1427.15964       0.9530       0.3825    1427.15964       0.9529       0.3827
   1427.14438       0.9958       0.4299    1427.14438       0.9957       0.4301
   1427.12913       0.9627       0.3940    1427.12913       0.9626       0.3942
   1427.11387       0.9863       0.4592    1427.11387       0.9862       0.4594
   1427.09861       1.0239       0.3538    1427.09861       1.0237       0.3539
   1427.08335       0.9071       0.3834    1427.08335       0.9070       0.3835
   1427.06809       0.9927       0.3783    1427.06809       0.9926       0.3785
   1427.05283       0.9698       0.4017    1427.05283       0.9697       0.4019
   1427.03757       1.0232       0.4328    1427.03757       1.0231       0.4330
   1427.02231       0.9821       0.4220    1427.02231       0.9820       0.4222
   1427.00706       0.9405       0.3668    1427.00706       0.9404       0.3670
   1426.99180       0.9689       0.5261    1426.99180       0.9688       0.5264
   1426.97654       1.0101       0.3963    1426.97654       1.0100       0.3964
   1426.96128       0.8897       0.3474    1426.96128       0.8896       0.3475
   1426.94602       0.9618       0.4670    1426.94602       0.9617       0.4673
   1426.93076       0.9337       0.3659    1426.93076       0.9336       0.3661
   1426.91550       1.0173       0.4422    1426.91550       1.0172       0.4424
