#     FILENAME=Skynet_59284_M31_35kpc_Spoor_52431_1402.A.onoff.cal.txt
#     BASENAME=Skynet_59284_M31_35kpc_Spoor_52431_1402
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59284_M31_35kpc_Spoor_52431
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59284_M31_35kpc_Spoor_52
#     SCANNAME=2019_06_26_10
#     SRC_NAME=M31_35kpc_Spoor
#     OBSERVER=unioncollege_21317
#     DATE_OBS=2021-03-11T12:19:02.270
#        OBSID=52431
#      SCANNUM=1402
#          MJD=59284.5132207
#          UTC=44342
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1420.4000,
# Actual_FREQ2=1420.4000
#    LO1Tuning=6870.4000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=324.00
#     EXPOSURE=250.46
#        FOCUS=37.071
#       RA,DEC=00:34:30.27, 39:14:24.59
#      RA(deg)=7.30615
#     DEC(deg)=39.24048
#   WIDTH(deg)=2.0630x0.0250
#    AZIM(deg)=55.6250
#    ELEV(deg)=21.4113
#     COORDREF=RA_DEC_
#         HREF=8.5971
#         VREF=39.2405
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=21.00, 14.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[3.13, 2.73] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=15 
#      BOXTEMP=26 
#         TSYS=XX1:36.14, YY1:43.52
#         TSYS=XX2:36.14, YY2:43.52
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.17, YY2:10.07
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1427.43430       1.3374       0.5285    1427.43430       1.3375       0.5285
   1427.41904       1.3470       0.5527    1427.41904       1.3471       0.5527
   1427.40378       1.3846       0.5788    1427.40378       1.3847       0.5788
   1427.38853       1.3149       0.5521    1427.38853       1.3150       0.5521
   1427.37327       1.3493       0.6438    1427.37327       1.3494       0.6438
   1427.35801       1.3851       0.5961    1427.35801       1.3851       0.5961
   1427.34275       1.4181       0.5137    1427.34275       1.4182       0.5137
   1427.32749       1.2947       0.5026    1427.32749       1.2948       0.5026
   1427.31223       1.3568       0.5347    1427.31223       1.3569       0.5347
   1427.29697       1.4251       0.4192    1427.29697       1.4252       0.4192
   1427.28171       1.3573       0.4764    1427.28171       1.3574       0.4764
   1427.26646       1.3764       0.5015    1427.26646       1.3765       0.5015
   1427.25120       1.3971       0.5513    1427.25120       1.3972       0.5513
   1427.23594       1.3913       0.5501    1427.23594       1.3914       0.5501
   1427.22068       1.3900       0.4979    1427.22068       1.3901       0.4979
   1427.20542       1.3639       0.4333    1427.20542       1.3640       0.4333
   1427.19016       1.3360       0.5339    1427.19016       1.3361       0.5339
   1427.17490       1.3155       0.5860    1427.17490       1.3156       0.5860
   1427.15964       1.3740       0.4698    1427.15964       1.3741       0.4698
   1427.14438       1.3577       0.5743    1427.14438       1.3577       0.5743
   1427.12913       1.3451       0.4868    1427.12913       1.3452       0.4868
   1427.11387       1.3718       0.4431    1427.11387       1.3719       0.4431
   1427.09861       1.3071       0.5756    1427.09861       1.3072       0.5756
   1427.08335       1.3218       0.4414    1427.08335       1.3219       0.4414
   1427.06809       1.3254       0.5250    1427.06809       1.3254       0.5250
   1427.05283       1.3613       0.5008    1427.05283       1.3614       0.5008
   1427.03757       1.3522       0.5066    1427.03757       1.3522       0.5066
   1427.02231       1.3654       0.5296    1427.02231       1.3655       0.5296
   1427.00706       1.3944       0.4528    1427.00706       1.3945       0.4528
   1426.99180       1.3841       0.5159    1426.99180       1.3842       0.5159
   1426.97654       1.2959       0.5290    1426.97654       1.2960       0.5290
   1426.96128       1.3243       0.4799    1426.96128       1.3244       0.4799
   1426.94602       1.2655       0.5873    1426.94602       1.2656       0.5873
   1426.93076       1.3502       0.4852    1426.93076       1.3503       0.4852
   1426.91550       1.3107       0.4521    1426.91550       1.3107       0.4521
