#     FILENAME=Skynet_59284_M31_40kpc_CSinger_52432_1410.A.onoff.cal.txt
#     BASENAME=Skynet_59284_M31_40kpc_CSinger_52432_1410
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59284_M31_40kpc_CSinger_52432
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59284_M31_40kpc_CSinger_
#     SCANNAME=2019_06_26_10
#     SRC_NAME=M31_40kpc_CSinger
#     OBSERVER=unioncollege_21317
#     DATE_OBS=2021-03-11T12:51:35.440
#        OBSID=52432
#      SCANNUM=1410
#          MJD=59284.5358269
#          UTC=46295
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1420.4000,
# Actual_FREQ2=1420.4000
#    LO1Tuning=6870.4000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=440.10
#     EXPOSURE=344.05
#        FOCUS=37.071
#       RA,DEC=00:33:28.54, 38:56:54.65
#      RA(deg)=7.01291
#     DEC(deg)=38.94821
#   WIDTH(deg)=2.0913x0.0363
#    AZIM(deg)=59.6874
#    ELEV(deg)=27.0460
#     COORDREF=RA_DEC_
#         HREF=8.2988
#         VREF=38.9483
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=21.00, 14.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.41, 1.15] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=15 
#      BOXTEMP=26 
#         TSYS=XX1:32.60, YY1:40.00
#         TSYS=XX2:32.60, YY2:39.99
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.17, YY2:10.07
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1427.43430       0.5449       0.5107    1427.43430       0.5449       0.5106
   1427.41904       0.5510       0.5166    1427.41904       0.5510       0.5165
   1427.40378       0.5323       0.5348    1427.40378       0.5323       0.5347
   1427.38853       0.5210       0.4848    1427.38853       0.5210       0.4847
   1427.37327       0.5910       0.5492    1427.37327       0.5910       0.5491
   1427.35801       0.5848       0.5124    1427.35801       0.5848       0.5123
   1427.34275       0.5361       0.4705    1427.34275       0.5361       0.4704
   1427.32749       0.5538       0.5432    1427.32749       0.5538       0.5431
   1427.31223       0.5427       0.4794    1427.31223       0.5427       0.4793
   1427.29697       0.5576       0.4911    1427.29697       0.5576       0.4910
   1427.28171       0.5878       0.5658    1427.28171       0.5878       0.5657
   1427.26646       0.5218       0.4635    1427.26646       0.5218       0.4634
   1427.25120       0.5731       0.5641    1427.25120       0.5731       0.5640
   1427.23594       0.5492       0.5360    1427.23594       0.5491       0.5359
   1427.22068       0.5816       0.5862    1427.22068       0.5816       0.5861
   1427.20542       0.5751       0.4915    1427.20542       0.5751       0.4914
   1427.19016       0.5583       0.5277    1427.19016       0.5582       0.5276
   1427.17490       0.6025       0.4688    1427.17490       0.6025       0.4687
   1427.15964       0.5474       0.5348    1427.15964       0.5474       0.5347
   1427.14438       0.5474       0.4913    1427.14438       0.5474       0.4912
   1427.12913       0.5643       0.4874    1427.12913       0.5643       0.4873
   1427.11387       0.5465       0.5358    1427.11387       0.5465       0.5357
   1427.09861       0.5846       0.5498    1427.09861       0.5846       0.5497
   1427.08335       0.5582       0.5282    1427.08335       0.5581       0.5281
   1427.06809       0.5797       0.5895    1427.06809       0.5797       0.5894
   1427.05283       0.5114       0.5168    1427.05283       0.5114       0.5167
   1427.03757       0.5169       0.5395    1427.03757       0.5169       0.5394
   1427.02231       0.5466       0.5605    1427.02231       0.5466       0.5604
   1427.00706       0.5673       0.5446    1427.00706       0.5673       0.5445
   1426.99180       0.5334       0.5633    1426.99180       0.5334       0.5632
   1426.97654       0.5344       0.4726    1426.97654       0.5344       0.4725
   1426.96128       0.5668       0.5308    1426.96128       0.5667       0.5307
   1426.94602       0.5109       0.5370    1426.94602       0.5109       0.5369
   1426.93076       0.5971       0.6348    1426.93076       0.5971       0.6347
   1426.91550       0.5354       0.5233    1426.91550       0.5354       0.5232
   1426.90024       0.5982       0.5234    1426.90024       0.5982       0.5233
   1426.88499       0.5211       0.5160    1426.88499       0.5211       0.5159
   1426.86973       0.5019       0.5224    1426.86973       0.5018       0.5223
   1426.85447       0.5812       0.5534    1426.85447       0.5812       0.5533
   1426.83921       0.5490       0.5002    1426.83921       0.5489       0.5001
   1426.82395       0.5376       0.5048    1426.82395       0.5376       0.5047
   1426.80869       0.5293       0.5201    1426.80869       0.5293       0.5200
   1426.79343       0.5482       0.5075    1426.79343       0.5482       0.5074
   1426.77817       0.5268       0.5318    1426.77817       0.5268       0.5316
   1426.76292       0.5841       0.4990    1426.76292       0.5841       0.4989
   1426.74766       0.5661       0.5889    1426.74766       0.5661       0.5887
   1426.73240       0.5987       0.5297    1426.73240       0.5987       0.5296
   1426.71714       0.5679       0.5372    1426.71714       0.5679       0.5371
   1426.70188       0.5425       0.5627    1426.70188       0.5425       0.5626
   1426.68662       0.5959       0.5214    1426.68662       0.5959       0.5213
   1426.67136       0.5332       0.5328    1426.67136       0.5332       0.5327
   1426.65610       0.5881       0.5107    1426.65610       0.5881       0.5106
   1426.64084       0.5737       0.5540    1426.64084       0.5736       0.5539
   1426.62559       0.5749       0.4843    1426.62559       0.5749       0.4842
   1426.61033       0.5806       0.5045    1426.61033       0.5806       0.5044
   1426.59507       0.5649       0.5104    1426.59507       0.5649       0.5103
   1426.57981       0.5776       0.5089    1426.57981       0.5776       0.5088
   1426.56455       0.5943       0.5965    1426.56455       0.5943       0.5964
   1426.54929       0.5711       0.5605    1426.54929       0.5711       0.5604
   1426.53403       0.5069       0.5064    1426.53403       0.5069       0.5063
   1426.51877       0.6050       0.5157    1426.51877       0.6050       0.5156
   1426.50352       0.5324       0.4678    1426.50352       0.5324       0.4677
   1426.48826       0.5843       0.4685    1426.48826       0.5843       0.4684
   1426.47300       0.5640       0.5465    1426.47300       0.5640       0.5464
   1426.45774       0.5685       0.5124    1426.45774       0.5685       0.5123
   1426.44248       0.5581       0.5501    1426.44248       0.5581       0.5500
   1426.42722       0.5667       0.5200    1426.42722       0.5667       0.5199
   1426.41196       0.5801       0.5680    1426.41196       0.5801       0.5679
   1426.39670       0.5567       0.5553    1426.39670       0.5566       0.5552
   1426.38145       0.5425       0.5116    1426.38145       0.5425       0.5115
   1426.36619       0.5278       0.4719    1426.36619       0.5278       0.4718
   1426.35093       0.5114       0.5143    1426.35093       0.5114       0.5142
   1426.33567       0.5307       0.4648    1426.33567       0.5307       0.4647
   1426.32041       0.5098       0.4611    1426.32041       0.5097       0.4610
   1426.30515       0.5303       0.4990    1426.30515       0.5303       0.4989
   1426.28989       0.5355       0.5127    1426.28989       0.5355       0.5126
   1426.27463       0.5023       0.4954    1426.27463       0.5023       0.4953
   1426.25937       0.5171       0.4612    1426.25937       0.5171       0.4611
   1426.24412       0.5251       0.5030    1426.24412       0.5251       0.5029
   1426.22886       0.5327       0.4884    1426.22886       0.5327       0.4883
   1426.21360       0.5364       0.4682    1426.21360       0.5364       0.4681
   1426.19834       0.5183       0.4856    1426.19834       0.5183       0.4856
   1426.18308       0.5193       0.5633    1426.18308       0.5193       0.5632
   1426.16782       0.5351       0.4969    1426.16782       0.5350       0.4968
   1426.15256       0.5502       0.4708    1426.15256       0.5502       0.4707
   1426.13730       0.5276       0.4121    1426.13730       0.5276       0.4120
   1426.12205       0.4651       0.4924    1426.12205       0.4651       0.4923
   1426.10679       0.5218       0.4589    1426.10679       0.5218       0.4588
   1426.09153       0.5357       0.4779    1426.09153       0.5357       0.4778
   1426.07627       0.5313       0.5052    1426.07627       0.5313       0.5051
   1426.06101       0.5419       0.4863    1426.06101       0.5419       0.4862
   1426.04575       0.5472       0.4964    1426.04575       0.5471       0.4963
   1426.03049       0.5472       0.4695    1426.03049       0.5472       0.4694
   1426.01523       0.5201       0.5253    1426.01523       0.5201       0.5252
   1425.99998       0.5095       0.5207    1425.99998       0.5095       0.5206
   1425.98472       0.5447       0.4821    1425.98472       0.5447       0.4820
   1425.96946       0.5145       0.4458    1425.96946       0.5145       0.4457
   1425.95420       0.5539       0.4770    1425.95420       0.5539       0.4769
   1425.93894       0.5143       0.4963    1425.93894       0.5143       0.4962
   1425.92368       0.5102       0.3805    1425.92368       0.5102       0.3804
   1425.90842       0.5927       0.4860    1425.90842       0.5926       0.4859
   1425.89316       0.4936       0.4064    1425.89316       0.4936       0.4063
   1425.87791       0.5199       0.4252    1425.87791       0.5199       0.4252
   1425.86265       0.5464       0.4570    1425.86265       0.5464       0.4569
   1425.84739       0.5305       0.4401    1425.84739       0.5304       0.4400
   1425.83213       0.5321       0.4524    1425.83213       0.5321       0.4523
   1425.81687       0.5215       0.3675    1425.81687       0.5214       0.3675
   1425.80161       0.5351       0.4732    1425.80161       0.5351       0.4731
   1425.78635       0.5007       0.3850    1425.78635       0.5007       0.3849
   1425.77109       0.5400       0.4787    1425.77109       0.5400       0.4786
   1425.75583       0.5096       0.4484    1425.75583       0.5096       0.4483
   1425.74058       0.4826       0.3719    1425.74058       0.4826       0.3718
   1425.72532       0.5138       0.4663    1425.72532       0.5138       0.4662
   1425.71006       0.5521       0.4223    1425.71006       0.5521       0.4222
   1425.69480       0.5141       0.3877    1425.69480       0.5141       0.3877
   1425.67954       0.4540       0.4575    1425.67954       0.4539       0.4574
   1425.66428       0.5469       0.4753    1425.66428       0.5469       0.4752
   1425.64902       0.4944       0.4295    1425.64902       0.4944       0.4294
   1425.63376       0.5216       0.4432    1425.63376       0.5215       0.4431
   1425.61851       0.4898       0.4264    1425.61851       0.4898       0.4263
   1425.60325       0.5379       0.4696    1425.60325       0.5379       0.4695
   1425.58799       0.5194       0.4784    1425.58799       0.5194       0.4783
   1425.57273       0.5223       0.4038    1425.57273       0.5223       0.4037
   1425.55747       0.5331       0.4182    1425.55747       0.5331       0.4181
   1425.54221       0.5787       0.3921    1425.54221       0.5787       0.3921
   1425.52695       0.5207       0.4634    1425.52695       0.5207       0.4633
   1425.51169       0.5410       0.3731    1425.51169       0.5410       0.3731
