#     FILENAME=Skynet_59284_M31_5kpc_MAtkinson_52424_1408.A.onoff.cal.txt
#     BASENAME=Skynet_59284_M31_5kpc_MAtkinson_52424_1408
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59284_M31_5kpc_MAtkinson_52424
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59284_M31_5kpc_MAtkinson
#     SCANNAME=2019_06_26_10
#     SRC_NAME=M31_5kpc_MAtkinson
#     OBSERVER=unioncollege_21317
#     DATE_OBS=2021-03-11T12:44:59.260
#        OBSID=52424
#      SCANNUM=1408
#          MJD=59284.5312414
#          UTC=45899
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1420.4000,
# Actual_FREQ2=1420.4000
#    LO1Tuning=6870.4000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=166.80
#     EXPOSURE=125.08
#        FOCUS=37.071
#       RA,DEC=00:41:49.84, 40:59:36.02
#      RA(deg)=9.05646
#     DEC(deg)=40.99308
#   WIDTH(deg)=2.0919x0.0283
#    AZIM(deg)=55.9036
#    ELEV(deg)=25.1927
#     COORDREF=RA_DEC_
#         HREF=10.3863
#         VREF=40.9933
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=21.00, 14.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.09, 1.16] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=15 
#      BOXTEMP=26 
#         TSYS=XX1:33.56, YY1:40.94
#         TSYS=XX2:33.56, YY2:40.93
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.17, YY2:10.07
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1427.43430       0.7525       0.6420    1427.43430       0.7525       0.6420
   1427.41904       0.7784       0.6166    1427.41904       0.7784       0.6166
   1427.40378       0.6990       0.6443    1427.40378       0.6990       0.6442
   1427.38853       0.7519       0.6365    1427.38853       0.7519       0.6365
   1427.37327       0.7730       0.4956    1427.37327       0.7730       0.4956
   1427.35801       0.8050       0.5585    1427.35801       0.8050       0.5584
   1427.34275       0.7103       0.5719    1427.34275       0.7103       0.5719
   1427.32749       0.7712       0.6263    1427.32749       0.7712       0.6263
   1427.31223       0.6899       0.6691    1427.31223       0.6899       0.6691
   1427.29697       0.7218       0.6091    1427.29697       0.7218       0.6090
   1427.28171       0.7248       0.6935    1427.28171       0.7248       0.6935
   1427.26646       0.7739       0.6450    1427.26646       0.7739       0.6450
   1427.25120       0.7142       0.7651    1427.25120       0.7142       0.7650
   1427.23594       0.7649       0.7695    1427.23594       0.7649       0.7695
   1427.22068       0.8549       0.6797    1427.22068       0.8549       0.6797
   1427.20542       0.7095       0.6287    1427.20542       0.7095       0.6286
   1427.19016       0.6352       0.6240    1427.19016       0.6352       0.6240
   1427.17490       0.7180       0.6269    1427.17490       0.7180       0.6269
   1427.15964       0.7408       0.6819    1427.15964       0.7408       0.6819
   1427.14438       0.8312       0.5950    1427.14438       0.8312       0.5950
   1427.12913       0.6852       0.6974    1427.12913       0.6851       0.6974
   1427.11387       0.6706       0.6703    1427.11387       0.6706       0.6702
   1427.09861       0.8016       0.6380    1427.09861       0.8016       0.6379
   1427.08335       0.7094       0.5807    1427.08335       0.7094       0.5807
   1427.06809       0.6871       0.6356    1427.06809       0.6871       0.6355
   1427.05283       0.6977       0.6937    1427.05283       0.6977       0.6936
   1427.03757       0.6963       0.6828    1427.03757       0.6963       0.6827
   1427.02231       0.6503       0.6504    1427.02231       0.6502       0.6504
   1427.00706       0.7185       0.6170    1427.00706       0.7185       0.6170
   1426.99180       0.7499       0.5619    1426.99180       0.7499       0.5618
   1426.97654       0.7735       0.6542    1426.97654       0.7735       0.6541
   1426.96128       0.7828       0.6472    1426.96128       0.7828       0.6472
   1426.94602       0.6705       0.6446    1426.94602       0.6705       0.6445
   1426.93076       0.7006       0.6906    1426.93076       0.7006       0.6905
   1426.91550       0.7932       0.6246    1426.91550       0.7932       0.6245
