#     FILENAME=Skynet_59313_ASTR_M31_Langgin_Rachel_54392_3314.A.onoff.cal.txt
#     BASENAME=Skynet_59313_ASTR_M31_Langgin_Rachel_54392_3314
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59313_ASTR_M31_Langgin_Rachel_54392
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59313_ASTR_M31_Langgin_R
#     SCANNAME=2019_06_26_10
#     SRC_NAME=ASTR_M31_Langgin_Rachel
#     OBSERVER=haverford2_26746
#     DATE_OBS=2021-04-09T17:27:21.990
#        OBSID=54392
#      SCANNUM=3314
#          MJD=59313.7273378
#          UTC=62842
#     SCANTYPE=offon
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8800,
# Actual_FREQ2=1406.2550
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.9999
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=449.00
#     EXPOSURE=401.98
#        FOCUS=37.115
#       RA,DEC=00:59:00.40, 41:16:07.05
#      RA(deg)=12.68512
#     DEC(deg)=41.26870
#   WIDTH(deg)=3.0136x0.0183
#    AZIM(deg)=298.8178
#    ELEV(deg)=82.9771
#     COORDREF=RA_DEC_
#         HREF=10.6846
#         VREF=41.2687
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=22.00, 14.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.32, 1.23] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=5 
#      POSTCAL=5 
#     CRYOTEMP=15 
#      BOXTEMP=29 
#         TSYS=XX1:34.60, YY1:53.71
#         TSYS=XX2:38.95, YY2:46.65
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91430      -3.4994     -11.6610    1413.28930      -4.3298      -9.7405
   1428.89904      -3.4673     -11.5747    1413.27404      -4.3158      -9.7747
   1428.88378      -3.5225     -11.6520    1413.25878      -4.2949      -9.7466
   1428.86853      -3.5226     -11.5552    1413.24353      -4.2850      -9.7069
   1428.85327      -3.5218     -11.6206    1413.22827      -4.3146      -9.7376
   1428.83801      -3.4641     -11.5394    1413.21301      -4.3356      -9.7281
   1428.82275      -3.4796     -11.5287    1413.19775      -4.3180      -9.7289
   1428.80749      -3.4802     -11.5498    1413.18249      -4.3208      -9.7446
   1428.79223      -3.5024     -11.5842    1413.16723      -4.3531      -9.7048
   1428.77697      -3.4672     -11.6361    1413.15197      -4.3088      -9.7784
   1428.76171      -3.4507     -11.5978    1413.13671      -4.3486      -9.6979
   1428.74646      -3.4731     -11.5803    1413.12146      -4.3694      -9.7184
   1428.73120      -3.4851     -11.5492    1413.10620      -4.3811      -9.7064
   1428.71594      -3.4456     -11.5573    1413.09094      -4.3470      -9.7519
   1428.70068      -3.4584     -11.5534    1413.07568      -4.3880      -9.6906
   1428.68542      -3.4001     -11.5932    1413.06042      -4.3412      -9.7105
   1428.67016      -3.4193     -11.5989    1413.04516      -4.3707      -9.6613
   1428.65490      -3.4229     -11.5847    1413.02990      -4.4107      -9.6337
   1428.63964      -3.3854     -11.4830    1413.01464      -4.3388      -9.7200
   1428.62438      -3.4123     -11.5421    1412.99938      -4.3720      -9.6694
   1428.60913      -3.3708     -11.5334    1412.98413      -4.3998      -9.6871
   1428.59387      -3.3934     -11.5498    1412.96887      -4.4278      -9.6939
   1428.57861      -3.4298     -11.5576    1412.95361      -4.3599      -9.6803
   1428.56335      -3.4072     -11.5501    1412.93835      -4.4080      -9.6437
   1428.54809      -3.3764     -11.4988    1412.92309      -4.3598      -9.7022
   1428.53283      -3.3763     -11.5223    1412.90783      -4.3682      -9.7328
   1428.51757      -3.3367     -11.5482    1412.89257      -4.4355      -9.6972
   1428.50231      -3.3441     -11.5376    1412.87731      -4.3590      -9.7063
   1428.48706      -3.3712     -11.5236    1412.86206      -4.4678      -9.6911
   1428.47180      -3.3381     -11.4627    1412.84680      -4.4224      -9.6219
   1428.45654      -3.3392     -11.5131    1412.83154      -4.3863      -9.6702
   1428.44128      -3.3300     -11.5596    1412.81628      -4.3955      -9.6912
