#     FILENAME=Skynet_59332_ASTR_344_M31_EmmyWisz_59470_8391.A.onoff.cal.txt
#     BASENAME=Skynet_59332_ASTR_344_M31_EmmyWisz_59470_8391
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59332_ASTR_344_M31_EmmyWisz_59470
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59332_ASTR_344_M31_EmmyW
#     SCANNAME=2019_06_26_10
#     SRC_NAME=ASTR_344_M31_EmmyWisz
#     OBSERVER=haverford2_26746
#     DATE_OBS=2021-04-28T13:20:44.010
#        OBSID=59470
#      SCANNUM=8391
#          MJD=59332.5560649
#          UTC=48044
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8800,
# Actual_FREQ2=1390.6300
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.9999
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=444.00
#     EXPOSURE=402.98
#        FOCUS=37.093
#       RA,DEC=00:43:04.11, 41:16:07.18
#      RA(deg)=12.68046
#     DEC(deg)=41.26874
#   WIDTH(deg)=3.0152x0.0054
#    AZIM(deg)=71.9972
#    ELEV(deg)=63.1035
#     COORDREF=RA_DEC_
#         HREF=10.6846
#         VREF=41.2687
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=20.00, 13.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.28, 1.24] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=5 
#      POSTCAL=5 
#     CRYOTEMP=15 
#      BOXTEMP=24 
#         TSYS=XX1:29.53, YY1:38.88
#         TSYS=XX2:32.67, YY2:34.44
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.14, YY2:9.87
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91430       0.7013       0.3341    1397.66430       0.7403       0.3526
   1428.89904       0.6987       0.3225    1397.64904       0.7023       0.4111
   1428.88378       0.7189       0.3422    1397.63378       0.7035       0.3644
   1428.86853       0.7195       0.3301    1397.61853       0.7042       0.4047
   1428.85327       0.7189       0.3246    1397.60327       0.7765       0.3775
   1428.83801       0.7074       0.3406    1397.58801       0.7067       0.4140
   1428.82275       0.6753       0.3169    1397.57275       0.7237       0.4217
   1428.80749       0.7184       0.3006    1397.55749       0.6937       0.4216
   1428.79223       0.7188       0.3045    1397.54223       0.7878       0.4138
   1428.77697       0.6612       0.3019    1397.52697       0.7016       0.3868
   1428.76171       0.6535       0.3341    1397.51171       0.7343       0.4437
   1428.74646       0.6650       0.4179    1397.49646       0.7355       0.4195
   1428.73120       0.7408       0.3719    1397.48120       0.6869       0.4312
   1428.71594       0.6932       0.3337    1397.46594       0.6646       0.4292
   1428.70068       0.7098       0.3208    1397.45068       0.7127       0.4204
   1428.68542       0.7055       0.3443    1397.43542       0.7071       0.4303
   1428.67016       0.6735       0.2791    1397.42016       0.7194       0.4416
   1428.65490       0.6786       0.3270    1397.40490       0.7416       0.3857
   1428.63964       0.6641       0.2860    1397.38964       0.7114       0.4413
   1428.62438       0.6612       0.3304    1397.37438       0.7138       0.4761
   1428.60913       0.6876       0.3157    1397.35913       0.7378       0.4354
   1428.59387       0.6702       0.3002    1397.34387       0.7054       0.4986
   1428.57861       0.6672       0.3076    1397.32861       0.6927       0.4530
   1428.56335       0.6921       0.3060    1397.31335       0.7220       0.4581
   1428.54809       0.7045       0.3392    1397.29809       0.6715       0.4915
   1428.53283       0.6098       0.3425    1397.28283       0.7223       0.4661
   1428.51757       0.6459       0.2794    1397.26757       0.7120       0.4556
   1428.50231       0.6426       0.3173    1397.25231       0.6880       0.4570
   1428.48706       0.6896       0.2959    1397.23706       0.6846       0.4857
   1428.47180       0.6311       0.2751    1397.22180       0.7052       0.4714
   1428.45654       0.6823       0.3082    1397.20654       0.7361       0.4469
   1428.44128       0.6313       0.3256    1397.19128       0.7062       0.4630
   1428.42602       0.6473       0.2864    1397.17602       0.7327       0.5073
   1428.41076       0.6357       0.3098    1397.16076       0.7371       0.5460
   1428.39550       0.6381       0.3283    1397.14550       0.7272       0.4665
   1428.38024       0.6446       0.2984    1397.13024       0.6857       0.4813
   1428.36499       0.6570       0.3282    1397.11499       0.6772       0.4947
   1428.34973       0.6350       0.3502    1397.09973       0.6854       0.4552
   1428.33447       0.6260       0.3834    1397.08447       0.7397       0.5367
   1428.31921       0.6511       0.3306    1397.06921       0.7678       0.5247
   1428.30395       0.6594       0.2841    1397.05395       0.7127       0.5288
   1428.28869       0.6474       0.2830    1397.03869       0.7264       0.5139
   1428.27343       0.6689       0.3352    1397.02343       0.7251       0.4923
   1428.25817       0.6724       0.2796    1397.00817       0.7052       0.5510
   1428.24292       0.6742       0.3547    1396.99292       0.7391       0.5149
   1428.22766       0.6197       0.2739    1396.97766       0.7080       0.4989
   1428.21240       0.6265       0.3606    1396.96240       0.6931       0.5369
