#     FILENAME=Skynet_59347_ASTR344_M31_SashaLevina_59818_8698.A.onoff.cal.txt
#     BASENAME=Skynet_59347_ASTR344_M31_SashaLevina_59818_8698
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59347_ASTR344_M31_SashaLevina_59818
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59347_ASTR344_M31_SashaL
#     SCANNAME=2019_06_26_10
#     SRC_NAME=ASTR344_M31_SashaLevina
#     OBSERVER=haverford2_26746
#     DATE_OBS=2021-05-13T08:25:32.880
#        OBSID=59818
#      SCANNUM=8698
#          MJD=59347.351075
#          UTC=30333
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8000,
# Actual_FREQ2=1390.5500
#    LO1Tuning=6856.1800
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.9999
#         TBIN=0.00104858
#       ACCLEN=2048 
#     DURATION=233.00
#     EXPOSURE=201.99
#        FOCUS=37.071
#       RA,DEC=00:43:06.44, 41:16:05.96
#      RA(deg)=12.67065
#     DEC(deg)=41.26874
#   WIDTH(deg)=3.0142x0.0145
#    AZIM(deg)=52.8933
#    ELEV(deg)=21.2141
#     COORDREF=RA_DEC_
#         HREF=10.6846
#         VREF=41.2687
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=21.00, 13.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.54, 1.98] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=5 
#      POSTCAL=5 
#     CRYOTEMP=15 
#      BOXTEMP=27 
#         TSYS=XX1:34.68, YY1:45.10
#         TSYS=XX2:38.72, YY2:40.73
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.14, YY2:9.87
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.83430      -0.3436      -0.7623    1397.58430      -0.4138      -0.2694
   1428.81904      -0.3444      -0.7627    1397.56904      -0.2970      -0.2633
   1428.80378      -0.3413      -0.7811    1397.55378      -0.3749      -0.2447
   1428.78853      -0.3694      -0.8532    1397.53853      -0.4103      -0.2717
   1428.77327      -0.2945      -0.8506    1397.52327      -0.3643      -0.2612
   1428.75801      -0.3747      -0.8621    1397.50801      -0.3177      -0.2286
   1428.74275      -0.2918      -0.8131    1397.49275      -0.4566      -0.3571
   1428.72749      -0.2920      -0.7785    1397.47749      -0.4209      -0.2018
   1428.71223      -0.3492      -0.7740    1397.46223      -0.3468      -0.1825
   1428.69697      -0.3072      -0.8279    1397.44697      -0.3721      -0.2616
   1428.68171      -0.3064      -0.7701    1397.43171      -0.3569      -0.2427
   1428.66646      -0.3281      -0.7519    1397.41646      -0.4938      -0.1910
   1428.65120      -0.3585      -0.7173    1397.40120      -0.4063      -0.2803
   1428.63594      -0.3768      -0.8770    1397.38594      -0.4560      -0.2523
   1428.62068      -0.3109      -0.7916    1397.37068      -0.4043      -0.2646
   1428.60542      -0.3587      -0.7723    1397.35542      -0.4119      -0.1717
   1428.59016      -0.3503      -0.7622    1397.34016      -0.3229      -0.2680
   1428.57490      -0.3392      -0.8280    1397.32490      -0.3646      -0.3206
   1428.55964      -0.3239      -0.8397    1397.30964      -0.4523      -0.2761
   1428.54438      -0.3099      -0.6987    1397.29438      -0.4737      -0.2315
   1428.52913      -0.4124      -0.8190    1397.27913      -0.3865      -0.3524
   1428.51387      -0.3638      -0.8215    1397.26387      -0.4015      -0.2982
   1428.49861      -0.3873      -0.8387    1397.24861      -0.3391      -0.1873
   1428.48335      -0.4307      -0.7939    1397.23335      -0.4625      -0.2071
   1428.46809      -0.3464      -0.8537    1397.21809      -0.3698      -0.2211
   1428.45283      -0.3872      -0.7855    1397.20283      -0.4511      -0.2821
   1428.43757      -0.4050      -0.7488    1397.18757      -0.4176      -0.3291
   1428.42231      -0.3665      -0.8280    1397.17231      -0.4483      -0.2790
   1428.40706      -0.3537      -0.8547    1397.15706      -0.3846      -0.1466
   1428.39180      -0.3838      -0.8111    1397.14180      -0.4039      -0.2744
   1428.37654      -0.4763      -0.8493    1397.12654      -0.3952      -0.2865
   1428.36128      -0.4298      -0.8057    1397.11128      -0.4083      -0.2076
   1428.34602      -0.3612      -0.7450    1397.09602      -0.3858      -0.3591
   1428.33076      -0.3780      -0.8451    1397.08076      -0.4874      -0.3521
   1428.31550      -0.4630      -0.8320    1397.06550      -0.4323      -0.2355
   1428.30024      -0.4006      -0.7208    1397.05024      -0.4396      -0.3176
   1428.28499      -0.3645      -0.8320    1397.03499      -0.4737      -0.2551
   1428.26973      -0.3931      -0.8478    1397.01973      -0.4262      -0.3122
   1428.25447      -0.4115      -0.7680    1397.00447      -0.3604      -0.2561
   1428.23921      -0.4176      -0.7856    1396.98921      -0.4259      -0.2732
   1428.22395      -0.4001      -0.7467    1396.97395      -0.4143      -0.2894
   1428.20869      -0.3981      -0.8136    1396.95869      -0.3532      -0.3051
   1428.19343      -0.4634      -0.8135    1396.94343      -0.4948      -0.1978
   1428.17817      -0.3687      -0.7510    1396.92817      -0.3950      -0.2795
   1428.16292      -0.4978      -0.8171    1396.91292      -0.3768      -0.3103
   1428.14766      -0.4556      -0.7806    1396.89766      -0.4721      -0.2964
