#     FILENAME=Skynet_59471_M31_group2_62068_10914.A.onoff.cal.txt
#     BASENAME=Skynet_59471_M31_group2_62068_10914
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59471_M31_group2_62068
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59471_M31_group2_62068/C
#     SCANNAME=2019_06_26_10
#     SRC_NAME=M31_group2
#     OBSERVER=sdss2_39397
#     DATE_OBS=2021-09-14T02:44:52.500
#        OBSID=62068
#      SCANNUM=10914
#          MJD=59471.1144965
#          UTC=09893
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1420.0000
# Actual_FREQ1=1667.0000,
# Actual_FREQ2=1417.0000
#    LO1Tuning=6992.0000
#     RFFILTER=1300_1800
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00104858
#       ACCLEN=2048 
#     DURATION=408.90
#     EXPOSURE=389.05
#        FOCUS=37.115
#       RA,DEC=00:42:52.76, 41:16:08.20
#      RA(deg)=12.68062
#     DEC(deg)=41.26873
#   WIDTH(deg)=3.0218x0.0089
#    AZIM(deg)=66.6122
#    ELEV(deg)=46.5528
#     COORDREF=RA_DEC_
#         HREF=10.6846
#         VREF=41.2687
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=15.00, 13.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[9.99, 8.31] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=16 
#      BOXTEMP=23 
#         TSYS=XX1:103.14, YY1:10622.51
#         TSYS=XX2:141.61, YY2:31996.87
#         TCAL=XX1:9.43, YY1:11.86
#         TCAL=XX2:9.17, YY2:10.07
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1674.03430      -0.4299   -1437.3526    1424.03430       3.6440   -7222.7791
   1674.01904      -0.3643   -1443.4843    1424.01904       3.7108   -7194.8315
   1674.00378      -0.4845   -1432.1725    1424.00378       3.4384   -7164.1133
   1673.98853      -0.5500   -1425.2377    1423.98853       3.7939   -7172.9405
   1673.97327      -0.3886   -1424.4319    1423.97327       3.8805   -7151.7219
   1673.95801      -0.4449   -1426.9617    1423.95801       3.8965   -7161.1116
   1673.94275      -0.4319   -1419.4059    1423.94275       3.7482   -7107.8205
   1673.92749      -0.5407   -1420.3124    1423.92749       3.8069   -7153.4488
   1673.91223      -0.2942   -1425.1705    1423.91223       3.8852   -7127.4891
   1673.89697      -0.5284   -1412.3434    1423.89697       3.6128   -7166.7444
   1673.88171      -0.3416   -1395.8720    1423.88171       3.8203   -7132.5111
   1673.86646      -0.5034   -1403.7829    1423.86646       3.7472   -7171.3443
   1673.85120      -0.3814   -1414.2846    1423.85120       3.8322   -7210.6815
   1673.83594       6.8611   -1351.6281    1423.83594       3.9401   -7131.5899
   1673.82068      -1.2540   -1426.4040    1423.82068       3.8236   -7127.8049
   1673.80542      -1.1038   -1406.2691    1423.80542       3.6917   -7178.2024
   1673.79016      -0.9922   -1385.7346    1423.79016       3.7173   -7124.4632
   1673.77490      -0.4768   -1384.6109    1423.77490       3.7369   -7167.6167
   1673.75964      -0.4640   -1381.3519    1423.75964       3.8684   -7144.2894
   1673.74438      -0.3049   -1377.8110    1423.74438       3.8856   -7164.2633
   1673.72913      -0.5989   -1393.7829    1423.72913       3.5317   -7141.4766
   1673.71387      -0.5559   -1379.8452    1423.71387       3.9393   -7097.6765
   1673.69861      -0.5165   -1376.1946    1423.69861       3.7984   -7181.0442
   1673.68335      -0.4733   -1371.3419    1423.68335       3.8275   -7148.6897
   1673.66809      -0.5932   -1367.8049    1423.66809       3.7602   -7104.7638
   1673.65283      -0.7222   -1360.2812    1423.65283       3.7243   -7140.3207
   1673.63757      -0.3420   -1375.9260    1423.63757       3.8313   -7108.8177
   1673.62231      -0.5297   -1373.4780    1423.62231       3.9076   -7153.5060
   1673.60706      -0.4375   -1363.3392    1423.60706       3.8277   -7158.8675
   1673.59180      -0.4722   -1357.8811    1423.59180       3.6946   -7155.6163
   1673.57654      -0.5653   -1361.4857    1423.57654       3.5739   -7151.4577
   1673.56128      -0.4741   -1361.1170    1423.56128       3.9662   -7125.5231
   1673.54602      -0.5312   -1349.0456    1423.54602       3.7762   -7138.2269
   1673.53076      -0.6254   -1346.5462    1423.53076       3.8229   -7108.9627
   1673.51550      -0.5742   -1341.2998    1423.51550       3.7574   -7151.5219
   1673.50024      -0.5654   -1349.4472    1423.50024       4.0071   -7119.0320
   1673.48499      -0.4955   -1349.9438    1423.48499       3.6212   -7145.4194
   1673.46973      -0.5984   -1337.5728    1423.46973       3.7040   -7104.7450
   1673.45447      -0.4505   -1337.4215    1423.45447       3.5324   -7147.2629
   1673.43921      -0.5678   -1339.6447    1423.43921       3.7714   -7135.1329
   1673.42395      -0.6253   -1340.6556    1423.42395       3.8971   -7176.4674
   1673.40869      -0.4768   -1335.9593    1423.40869       3.7735   -7125.6791
   1673.39343      -0.6156   -1342.8526    1423.39343       3.6413   -7113.9904
   1673.37817      -0.5222   -1333.9064    1423.37817       3.7023   -7185.4072
   1673.36292      -0.4116   -1326.5774    1423.36292       3.8185   -7149.2620
   1673.34766       4.7426   -1301.9851    1423.34766       3.8462   -7136.8995
   1673.33240      -0.9883   -1357.9615    1423.33240       3.8502   -7142.0343
   1673.31714      -0.9772   -1329.2231    1423.31714       3.8860   -7093.3843
   1673.30188      -0.9085   -1335.0144    1423.30188       3.5550   -7146.7118
   1673.28662      -0.6548   -1329.5993    1423.28662       3.7619   -7178.6470
   1673.27136      -0.4499   -1329.3871    1423.27136       3.8332   -7148.6957
   1673.25610      -0.6173   -1312.9530    1423.25610       3.8413   -7156.9758
   1673.24084      -0.6779   -1323.7528    1423.24084       3.9099   -7164.4970
   1673.22559      -0.5146   -1324.3955    1423.22559       4.1120   -7202.8327
   1673.21033      -0.4915   -1318.7285    1423.21033       3.6816   -7156.5293
   1673.19507      -0.4931   -1321.0918    1423.19507       3.8477   -7182.4665
   1673.17981      -0.5438   -1306.9891    1423.17981       3.9804   -7153.3627
   1673.16455      -0.5908   -1312.3799    1423.16455       3.8374   -7181.4879
   1673.14929      -0.5553   -1310.9892    1423.14929       3.7929   -7129.1286
   1673.13403      -0.5454   -1312.0491    1423.13403       4.0569   -7155.2154
   1673.11877      -0.5440   -1296.1415    1423.11877       4.1093   -7134.1352
   1673.10352      -0.5833   -1318.4813    1423.10352       4.1062   -7144.3787
   1673.08826      -0.5721   -1321.1685    1423.08826       3.9973   -7158.6242
   1673.07300      -0.4038   -1308.9181    1423.07300       4.4790   -7109.2421
   1673.05774      -0.5141   -1299.2908    1423.05774       4.3089   -7114.1018
   1673.04248      -0.5083   -1303.2370    1423.04248       4.2557   -7080.3901
   1673.02722      -0.4515   -1300.0650    1423.02722       4.1580   -7110.1000
   1673.01196      -0.5099   -1294.6502    1423.01196       4.3338   -7123.7671
   1672.99670      -0.6668   -1288.1216    1422.99670       4.5314   -7140.7674
   1672.98145      -0.5399   -1306.0145    1422.98145       4.4177   -7103.7433
   1672.96619      -0.7020   -1298.3329    1422.96619       4.3028   -7069.5626
   1672.95093      -0.5416   -1302.2725    1422.95093       4.6237   -7103.8814
   1672.93567      -0.6480   -1293.9888    1422.93567       4.7434   -7061.6761
   1672.92041      -0.4484   -1290.8825    1422.92041       4.5740   -7080.3803
   1672.90515      -0.6305   -1294.2286    1422.90515       4.7684   -7080.8151
   1672.88989      -0.4221   -1291.0046    1422.88989       4.8196   -7114.3804
   1672.87463      -0.6212   -1288.3027    1422.87463       4.5600   -7129.8386
   1672.85938       3.0679   -1252.1159    1422.85938       4.6448   -7116.6635
   1672.84412      -0.8368   -1304.9693    1422.84412       4.5924   -7135.5540
   1672.82886      -0.9349   -1308.6348    1422.82886       4.3747   -7102.9921
   1672.81360      -0.8388   -1296.2228    1422.81360       4.5656   -7106.4628
   1672.79834      -0.5066   -1284.7838    1422.79834       4.4955   -7084.6365
   1672.78308      -0.3526   -1292.0049    1422.78308       4.5942   -7117.4179
   1672.76782      -0.6166   -1289.7041    1422.76782       4.5289   -7116.1178
   1672.75256      -0.4095   -1288.2568    1422.75256       4.4673   -7145.1235
   1672.73730      -0.5549   -1274.8467    1422.73730       4.5360   -7106.8575
   1672.72205      -0.6457   -1281.0804    1422.72205       4.5129   -7099.6290
   1672.70679      -0.6507   -1285.3618    1422.70679       4.5019   -7108.5130
   1672.69153      -0.4711   -1280.3695    1422.69153       4.8130   -7121.3746
   1672.67627      -0.4662   -1289.2343    1422.67627       4.8165   -7084.0615
   1672.66101      -0.4691   -1287.9902    1422.66101       4.7671   -7094.7236
   1672.64575      -0.5600   -1288.2914    1422.64575       5.0088   -7072.7203
   1672.63049      -0.4155   -1273.5842    1422.63049       5.1448   -7063.6450
   1672.61523      -0.4583   -1270.6428    1422.61523       5.2021   -7059.4809
   1672.59998      -0.5139   -1291.5610    1422.59998       4.9704   -7064.0847
   1672.58472      -0.4282   -1285.2453    1422.58472       4.7626   -7065.2053
   1672.56946      -0.3355   -1262.1856    1422.56946       5.3109   -7039.1385
   1672.55420      -0.5479   -1276.6094    1422.55420       5.2215   -7071.5733
   1672.53894      -0.3812   -1292.9727    1422.53894       5.2796   -7030.1011
   1672.52368      -0.3986   -1279.8466    1422.52368       5.5410   -6988.9222
   1672.50842      -0.5099   -1274.6411    1422.50842       5.5981   -7030.6547
   1672.49316      -0.4366   -1278.8065    1422.49316       5.8295   -6987.8564
   1672.47791      -0.5339   -1286.7324    1422.47791       5.8287   -6958.1107
   1672.46265      -0.3600   -1272.8407    1422.46265       5.9837   -6969.4323
   1672.44739      -0.4436   -1283.1280    1422.44739       5.9347   -6948.8612
   1672.43213      -0.4764   -1264.9265    1422.43213       6.1331   -6918.9692
   1672.41687      -0.5978   -1287.0403    1422.41687       6.2959   -6848.4810
   1672.40161      -0.5554   -1274.8162    1422.40161       6.5033   -6855.4992
   1672.38635      -0.5353   -1282.4639    1422.38635       6.8518   -6849.3599
   1672.37109       2.0745   -1242.8338    1422.37109       6.7173   -6768.9144
   1672.35583      -0.6074   -1276.5985    1422.35583       7.1654   -6810.2593
   1672.34058      -0.5088   -1277.3563    1422.34058       6.8964   -6770.4882
   1672.32532      -0.5301   -1269.2788    1422.32532       7.1643   -6771.9074
   1672.31006      -0.4997   -1276.5181    1422.31006       7.4094   -6729.7818
   1672.29480      -0.5697   -1276.6025    1422.29480       7.4233   -6700.1312
   1672.27954      -0.3576   -1271.2792    1422.27954       7.5248   -6687.4355
   1672.26428      -0.3765   -1270.4662    1422.26428       8.0292   -6649.2711
   1672.24902      -0.4631   -1274.3328    1422.24902       8.2015   -6581.8533
   1672.23376      -0.4944   -1271.4492    1422.23376       8.4390   -6571.3973
   1672.21851      -0.5255   -1268.6378    1422.21851       8.6513   -6547.7391
   1672.20325      -0.4593   -1279.3796    1422.20325       8.5400   -6539.1773
   1672.18799      -0.5811   -1280.1677    1422.18799       8.8291   -6474.1843
   1672.17273      -0.5046   -1277.5360    1422.17273       8.6896   -6499.9612
   1672.15747      -0.4846   -1263.6360    1422.15747       8.9739   -6444.4917
   1672.14221      -0.4920   -1270.4615    1422.14221       9.2695   -6438.5940
   1672.12695      -0.4011   -1269.8732    1422.12695       9.6589   -6373.7722
   1672.11169      -0.4510   -1268.9820    1422.11169       9.9241   -6297.1147
   1672.09644      -0.4228   -1264.4860    1422.09644      10.0569   -6262.2128
   1672.08118      -0.5605   -1270.5224    1422.08118      10.1606   -6233.5213
   1672.06592      -0.4040   -1280.1409    1422.06592      10.5390   -6212.0794
   1672.05066      -0.4801   -1268.8233    1422.05066      10.6116   -6177.4951
   1672.03540      -0.4758   -1267.5109    1422.03540      10.9348   -6094.7054
   1672.02014      -0.4364   -1279.2459    1422.02014      11.3613   -6071.6141
   1672.00488      -0.3715   -1261.2227    1422.00488      11.4344   -6043.5862
   1671.98962      -0.3929   -1273.7046    1421.98962      11.3850   -6010.9482
   1671.97437      -0.6196   -1267.7128    1421.97437      11.3314   -6008.9281
   1671.95911      -0.4406   -1268.6161    1421.95911      11.3217   -6074.5372
   1671.94385      -0.4543   -1286.3677    1421.94385      11.5188   -6084.5813
   1671.92859      -0.4332   -1275.1249    1421.92859      11.2494   -6061.4320
   1671.91333      -0.4261   -1280.2444    1421.91333      11.4375   -6041.3511
