#     FILENAME=Skynet_59472_messier_31_62130_10961.A.onoff.cal.txt
#     BASENAME=Skynet_59472_messier_31_62130_10961
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59472_messier_31_62130
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59472_messier_31_62130/C
#     SCANNAME=2019_06_26_10
#     SRC_NAME=messier_31
#     OBSERVER=sdss2_39397
#     DATE_OBS=2021-09-16T00:11:22.120
#        OBSID=62130
#      SCANNUM=10961
#          MJD=59473.0078949
#          UTC=00682
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1424.4100,
# Actual_FREQ2=1424.4100
#    LO1Tuning=6874.4100
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=118.50
#     EXPOSURE=99.29
#        FOCUS=37.071
#       RA,DEC=00:43:00.17, 41:16:06.13
#      RA(deg)=12.68220
#     DEC(deg)=41.26873
#   WIDTH(deg)=3.0210x0.0151
#    AZIM(deg)=52.9099
#    ELEV(deg)=21.2509
#     COORDREF=RA_DEC_
#         HREF=10.6846
#         VREF=41.2687
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=23.00, 9.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[0.8, 0.56] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=17 
#      BOXTEMP=24 
#         TSYS=XX1:287.94, YY1:319.71
#         TSYS=XX2:287.94, YY2:319.71
#         TCAL=XX1:9.18, YY1:10.14
#         TCAL=XX2:9.18, YY2:10.14
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1431.44430      -6.8495      -7.6283    1431.44430      -6.8495      -7.6283
   1431.42904      -6.6297      -9.0392    1431.42904      -6.6297      -9.0392
   1431.41378      -6.6950      -8.6880    1431.41378      -6.6950      -8.6880
   1431.39853      -6.3654      -8.5223    1431.39853      -6.3654      -8.5223
   1431.38327      -6.6795      -8.6453    1431.38327      -6.6795      -8.6453
   1431.36801      -7.1053      -7.4379    1431.36801      -7.1053      -7.4379
   1431.35275      -6.4500      -8.1666    1431.35275      -6.4500      -8.1666
   1431.33749      -7.0379      -8.3959    1431.33749      -7.0379      -8.3959
   1431.32223      -6.9980      -8.0269    1431.32223      -6.9980      -8.0269
   1431.30697      -6.5818      -8.0420    1431.30697      -6.5818      -8.0420
   1431.29171      -6.7430      -9.2813    1431.29171      -6.7430      -9.2813
   1431.27646      -7.0489      -7.7745    1431.27646      -7.0489      -7.7745
   1431.26120      -7.0931      -8.3207    1431.26120      -7.0931      -8.3207
   1431.24594      -6.5288      -8.4557    1431.24594      -6.5288      -8.4557
   1431.23068      -7.3589      -8.5040    1431.23068      -7.3589      -8.5040
   1431.21542      -6.7898      -8.1556    1431.21542      -6.7898      -8.1556
   1431.20016      -6.3216      -8.2004    1431.20016      -6.3216      -8.2004
   1431.18490      -6.6157      -8.4150    1431.18490      -6.6157      -8.4150
   1431.16964      -6.4286      -8.1941    1431.16964      -6.4286      -8.1941
   1431.15438      -6.2805      -7.6694    1431.15438      -6.2805      -7.6694
   1431.13913      -6.1536      -7.9958    1431.13913      -6.1536      -7.9958
   1431.12387      -7.0326      -8.7512    1431.12387      -7.0326      -8.7512
   1431.10861      -6.2647      -8.5277    1431.10861      -6.2647      -8.5277
   1431.09335      -7.1730      -8.7465    1431.09335      -7.1730      -8.7465
   1431.07809      -6.7185      -8.8228    1431.07809      -6.7185      -8.8228
   1431.06283      -6.3756      -8.5301    1431.06283      -6.3756      -8.5301
   1431.04757      -7.2552      -7.9090    1431.04757      -7.2552      -7.9090
   1431.03231      -7.4409      -7.9483    1431.03231      -7.4409      -7.9483
   1431.01706      -6.9062      -7.4663    1431.01706      -6.9062      -7.4663
   1431.00180      -6.8064      -9.5070    1431.00180      -6.8064      -9.5070
   1430.98654      -6.3796      -7.7028    1430.98654      -6.3796      -7.7028
   1430.97128      -6.7872      -7.9357    1430.97128      -6.7872      -7.9357
   1430.95602      -6.5957      -8.2147    1430.95602      -6.5957      -8.2147
   1430.94076      -6.6297      -9.2041    1430.94076      -6.6297      -9.2041
   1430.92550      -6.7067      -8.2537    1430.92550      -6.7067      -8.2537
   1430.91024      -6.6042      -8.5649    1430.91024      -6.6042      -8.5649
   1430.89499      -6.2165      -9.0619    1430.89499      -6.2165      -9.0619
   1430.87973      -7.2074      -8.8303    1430.87973      -7.2074      -8.8303
   1430.86447      -6.8434      -8.7558    1430.86447      -6.8434      -8.7558
   1430.84921      -6.0542      -8.1289    1430.84921      -6.0542      -8.1289
   1430.83395      -6.5220      -8.4450    1430.83395      -6.5220      -8.4450
   1430.81869      -6.1849      -8.8259    1430.81869      -6.1849      -8.8259
   1430.80343      -6.8306      -9.6795    1430.80343      -6.8306      -9.6795
   1430.78817      -5.9915      -9.0172    1430.78817      -5.9915      -9.0172
