#     FILENAME=Skynet_59473_ngc_1530_62134_10963.A.onoff.cal.txt
#     BASENAME=Skynet_59473_ngc_1530_62134_10963
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59473_ngc_1530_62134
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59473_ngc_1530_62134/Cyb
#     SCANNAME=2019_06_26_10
#     SRC_NAME=ngc_1530
#     OBSERVER=sdss3_39398
#     DATE_OBS=2021-09-16T02:14:49.400
#        OBSID=62134
#      SCANNUM=10963
#          MJD=59473.0936273
#          UTC=08089
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1408.6000,
# Actual_FREQ2=1408.6000
#    LO1Tuning=6858.6000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00104858
#       ACCLEN=2048 
#     DURATION=408.90
#     EXPOSURE=388.75
#        FOCUS=37.071
#       RA,DEC=04:24:30.06, 75:17:45.52
#      RA(deg)=71.76919
#     DEC(deg)=75.29560
#   WIDTH(deg)=3.0243x0.0088
#    AZIM(deg)=13.6728
#    ELEV(deg)=29.5730
#     COORDREF=RA_DEC_
#         HREF=65.8629
#         VREF=75.2956
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=23.00, 8.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.41, 2.59] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=17 
#      BOXTEMP=23 
#         TSYS=XX1:430.20, YY1:334.92
#         TSYS=XX2:430.20, YY2:334.92
#         TCAL=XX1:9.16, YY1:9.99
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1415.63430      -3.4124      -1.7079    1415.63430      -3.4124      -1.7079
   1415.61904      -3.4180      -1.5959    1415.61904      -3.4180      -1.5959
   1415.60378      -3.7493      -2.0893    1415.60378      -3.7493      -2.0893
   1415.58853      -3.9663      -1.8880    1415.58853      -3.9663      -1.8880
   1415.57327      -3.9222      -1.8369    1415.57327      -3.9222      -1.8369
   1415.55801      -3.4788      -2.1813    1415.55801      -3.4788      -2.1813
   1415.54275      -4.5739      -1.8971    1415.54275      -4.5739      -1.8971
   1415.52749      -3.8446      -1.7566    1415.52749      -3.8446      -1.7566
   1415.51223      -4.0715      -1.5002    1415.51223      -4.0715      -1.5002
   1415.49697      -3.2715      -1.6429    1415.49697      -3.2715      -1.6429
   1415.48171      -3.3951      -1.9534    1415.48171      -3.3951      -1.9534
   1415.46646      -3.7710      -2.1211    1415.46646      -3.7710      -2.1211
   1415.45120      -3.8773      -2.1768    1415.45120      -3.8773      -2.1768
   1415.43594      -3.9218      -2.3675    1415.43594      -3.9218      -2.3675
   1415.42068      -4.2497      -1.6916    1415.42068      -4.2497      -1.6916
   1415.40542      -3.7084      -1.2553    1415.40542      -3.7084      -1.2553
   1415.39016      -3.7862      -2.2911    1415.39016      -3.7862      -2.2911
   1415.37490      -3.3240      -2.1726    1415.37490      -3.3240      -2.1726
   1415.35964      -3.4497      -2.1705    1415.35964      -3.4497      -2.1705
   1415.34438      -3.2916      -1.6753    1415.34438      -3.2916      -1.6753
   1415.32913      -4.0290      -1.7363    1415.32913      -4.0290      -1.7363
   1415.31387      -3.6719      -2.5986    1415.31387      -3.6719      -2.5986
   1415.29861      -3.4971      -1.5054    1415.29861      -3.4971      -1.5054
   1415.28335      -3.1627      -2.1985    1415.28335      -3.1627      -2.1985
   1415.26809      -3.3709      -2.4158    1415.26809      -3.3709      -2.4158
   1415.25283      -3.4751      -1.8445    1415.25283      -3.4751      -1.8445
   1415.23757      -3.8529      -1.7033    1415.23757      -3.8529      -1.7033
   1415.22231      -3.6063      -2.0774    1415.22231      -3.6063      -2.0774
   1415.20706      -3.3135      -1.8446    1415.20706      -3.3135      -1.8446
   1415.19180      -3.2839      -1.7895    1415.19180      -3.2839      -1.7895
   1415.17654      -3.1687      -1.4416    1415.17654      -3.1687      -1.4416
   1415.16128      -3.5290      -2.2019    1415.16128      -3.5290      -2.2019
   1415.14602      -3.7282      -1.2985    1415.14602      -3.7282      -1.2985
   1415.13076      -3.8279      -2.1550    1415.13076      -3.8279      -2.1550
   1415.11550      -3.5463      -2.2116    1415.11550      -3.5463      -2.2116
   1415.10024      -3.2547      -2.1547    1415.10024      -3.2547      -2.1547
   1415.08499      -3.4748      -1.9124    1415.08499      -3.4748      -1.9124
   1415.06973      -3.3210      -1.9225    1415.06973      -3.3210      -1.9225
   1415.05447      -2.5701      -1.5225    1415.05447      -2.5701      -1.5225
   1415.03921      -2.9193      -1.8629    1415.03921      -2.9193      -1.8629
   1415.02395      -3.1697      -1.5243    1415.02395      -3.1697      -1.5243
   1415.00869      -3.5958      -1.5488    1415.00869      -3.5958      -1.5488
   1414.99343      -3.3700      -1.9192    1414.99343      -3.3700      -1.9192
   1414.97817      -3.1473      -1.9033    1414.97817      -3.1473      -1.9033
   1414.96292      -3.9276      -1.2336    1414.96292      -3.9276      -1.2336
   1414.94766      -3.5470      -1.7832    1414.94766      -3.5470      -1.7832
