#Scan:    100            N1530 2021-09-20 +07 35 52.0
#          RADIO                  Ta    
#        km/s-BAR                 I
    1306.1872229650723511      0.0109655
    1309.2062972980261293      0.0069045
    1312.2253716309469382      0.0132682
    1315.2444459639004890      0.0036802
    1318.2635202967881014      0.0146792
    1321.2825946297418795      0.0109102
    1324.3016689626624611      0.0133356
    1327.3207432956164666      0.0212437
    1330.3398176285370482      0.0240957
    1333.3588919614910537      0.0295594
    1336.3779662944116353      0.0259003
    1339.3970406273322169      0.0389207
    1342.4161149602527985      0.0281894
    1345.4351892932065766      0.0338431
    1348.4542636261271582      0.0482251
    1351.4733379590811637      0.0398311
    1354.4924122920017453      0.0319504
    1357.5114866248891303      0.0299678
    1360.5305609578429085      0.0313608
    1363.5496352907969140      0.0517200
    1366.5687096237174956      0.0530579
    1369.5877839566712737      0.0396725
    1372.6068582895918553      0.0498086
    1375.6259326225458608      0.0504652
    1378.6450069554332458      0.0394989
    1381.6640812883870240      0.0361084
    1384.6831556213076055      0.0481525
    1387.7022299542616111      0.0377699
    1390.7213042871821926      0.0451415
    1393.7403786201359708      0.0438075
    1396.7594529530565524      0.0461764
    1399.7785272859439374      0.0530549
    1402.7976016188979429      0.0585324
    1405.8166759518517210      0.0491770
    1408.8357502847723026      0.0396495
    1411.8548246177263081      0.0335927
    1414.8738989506468897      0.0318247
    1417.8929732835342747      0.0454320
    1420.9120476164880529      0.0498093
    1423.9311219494086345      0.0423579
    1426.9501962823626400      0.0296204
    1429.9692706153164181      0.0216596
    1432.9883449482369997      0.0438021
    1436.0074192811910052      0.0437063
    1439.0264936140781629      0.0423698
    1442.0455679469989718      0.0427009
    1445.0646422799527500      0.0511391
    1448.0837166129067555      0.0423485
    1451.1027909458273371      0.0389361
    1454.1218652787811152      0.0468176
    1457.1409396116685002      0.0470559
    1460.1600139445890818      0.0618704
    1463.1790882775428599      0.0437166
    1466.1981626104636689      0.0554329
    1469.2172369434174470      0.0566184
    1472.2363112763714525      0.0342143
    1475.2553856092920341      0.0392152
    1478.2744599421791918      0.0540585
    1481.2935342751331973      0.0523146
    1484.3126086080537789      0.0518679
    1487.3316829410075570      0.0449564
    1490.3507572739283660      0.0457251
    1493.3698316068821441      0.0431494
    1496.3889059398361496      0.0389719
    1499.4079802727233073      0.0427181
    1502.4270546056438889      0.0522351
    1505.4461289385978944      0.0502000
    1508.4652032715184760      0.0464329
    1511.4842776044722541      0.0393503
    1514.5033519374262596      0.0312286
    1517.5224262703136446      0.0458611
    1520.5415006032342262      0.0364139
    1523.5605749361880044      0.0389603
    1526.5796492691085859      0.0417665
    1529.5987236020625915      0.0403741
    1532.6177979349831730      0.0607931
    1535.6368722679369512      0.0467068
    1538.6559466008243362      0.0404956
    1541.6750209337783417      0.0483174
    1544.6940952666989233      0.0467205
    1547.7131695996527014      0.0487133
    1550.7322439325732830      0.0434752
    1553.7513182655272885      0.0410014
    1556.7703925984149009      0.0494436
    1559.7894669313684517      0.0567013
    1562.8085412642892607      0.0611448
    1565.8276155972430388      0.0526878
    1568.8466899301638477      0.0475210
    1571.8657642631173985      0.0451651
    1574.8848385960382075      0.0457636
    1577.9039129289255925      0.0462015
    1580.9229872618795980      0.0499496
